Defibrillator,addressName,longitude,latitude
2017-38,"CALLE de Ríos Rosas 23, 28003, Madrid",-4.40663,44.7077
2017-39,"PASEO de la Castellana 182, 28046, Madrid",-4.4161,44.917
2017-41,"CALLE Latón 3, 28500, Arganda del Rey",-4.60489,44.136
2017-48,"CALLE de Monasterio de Las Huelgas 15, 28049, Madrid",-4.39919,44.3766
2017-55,"CALLE de Isabel II 26, 28660, Boadilla del Monte",-4.25269,44.3564
2017-56,"CALLE de Juan Carlos I 42, 28660, Boadilla del Monte",-4.25413,44.3275
2017-57,"CALLE del Convento 10, 28660, Boadilla del Monte",-4.25577,44.3257
2017-58,"AVDA SEDE INSTITUCIONAL DEL AYUNTAMIENTO. HALL DE ENTRADA S/N, 28660, Boadilla del Monte",-4.25598,44.3109
2017-98,"CALLE del Alto del Retiro 33, 28051, Madrid",-4.49406,44.9024
2017-99,"CALLE de Somera 5, 28023, Madrid",-4.31898,44.0058
2017-100,"CALLE de Consuegra 7, 28036, Madrid",-4.42642,44.0695
2017-101,"CALLE de Juan Ramón Jiménez 15, 28036, Madrid",-4.41742,44.8847
2017-108,"CALLE de Goya 22, 28001, Madrid",-4.42037,44.5154
2017-117,"PLAZA de Pablo Ruiz Picasso S/N, 28020, Madrid",-4.41236,44.7968
2017-119,"PLAZA de Francisco Sandoval Caballero 1, 28600, Navalcarnero",-4.13706,44.0531
2017-121,"PLAZA del Teatro s/n, 28600, Navalcarnero",-4.13855,44.0388
2017-129,"CALLE del Río Ebro s/n, 28600, Navalcarnero",-4.14399,44.0907
2017-130,"CALLE Juan Antonio Zenón S/N, 28600, Navalcarnero",-4.13304,44.0258
2017-135,"CALLE de la Virgen del Mar S/N, 28821, Coslada",-4.52271,44.5706
2017-144,"AVDA de Meco S/N, 28805, Alcalá de Henares",-4.69844,44.2845
2017-160,"CALLE de Nicolás Cabrera 1, 28049, Madrid",-4.41455,44.8971
2017-161,"PASEO de las Doce Estrellas 4, 28042, Madrid",-4.47846,44.9172
2017-173,"CALLE de Maqueda 8, 28024, Madrid",-4.35023,44.18
2017-175,"AVDA de Puerta de Hierro 1, 28040, Madrid",-4.37616,44.7626
2017-176,"AVDA de Puerta de Hierro 1, 28040, Madrid",-4.37616,44.7626
2017-177,"AVDA de Puerta de Hierro 1, 28040, Madrid",-4.37616,44.7626
2017-178,"AVDA de Puerta de Hierro 1, 28040, Madrid",-4.37616,44.7626
2017-181,"AVDA Manuel Gutiérrez Mellado S/N, 28670, Villaviciosa de Odón",-4.23703,44.7521
2017-184,"CALLE Lucio Emilio Cándido 4,  Alcalá de Henares",-4.65506,44.996
2017-3,"CALLE Sur S/N, 28320, Pinto",-4.40475,44.4152
2017-6,"CALLE Sevilla S/N, 28320, Pinto",-4.41232,44.4909
2017-42,"CALLE Latón 8, 28500, Arganda del Rey",-4.60224,44.1408
