;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Acceso a 
Banco Datos";SERVICIOS SOCIALES. ATENCIÓN A LAS PERSONAS MAYORES;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datos;2. Usuarios atendidos por el Servicio de comidas a domicilio por Distrito según Grupo de edad y Sexo ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Total;;;;65-69;;;;70-74;;;;75-79;;;;80-84;;;;85-90;;;;>90;;;
"Acceso a 
Banco Datos";Distrito;Ambos sexos ;Hombres;Mujeres;;Ambos sexos ;Hombres;Mujeres;;Ambos sexos ;Hombres;Mujeres;;Ambos sexos ;Hombres;Mujeres;;Ambos sexos ;Hombres;Mujeres;;Ambos sexos ;Hombres;Mujeres;;Ambos sexos ;Hombres;Mujeres;Comidas
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datos;2021 ;4.703;2.042;2.661;;700;393;307;;384;187;197;;553;242;311;;830;325;505;;1.219;489;730;;1.017;406;611;707.145
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;01. Centro;216;93;123;;39;17 ;22 ;;26;19 ;7 ;;35;17 ;18 ;;36;14 ;22 ;;42;16 ;26 ;;38;10 ;28 ;37.727
;02. Arganzuela;225;95;130;;30;13 ;17 ;;20;11 ;9 ;;27;17 ;10 ;;39;11 ;28 ;;58;23 ;35 ;;51;20 ;31 ;34.190
;03. Retiro;100;27;73;;8;5 ;3 ;;11;2 ;9 ;;15;4 ;11 ;;23;5 ;18 ;;23;6 ;17 ;;20;5 ;15 ;16.479
;04. Salamanca;168;67;101;;18;9 ;9 ;;10;3 ;7 ;;26;12 ;14 ;;34;13 ;21 ;;43;12 ;31 ;;37;18 ;19 ;20.995
;05. Chamartín;98;31;67;;17;10 ;7 ;;9;4 ;5 ;;15;6 ;9 ;;13;4 ;9 ;;23;4 ;19 ;;21;3 ;18 ;16.248
;06. Tetuán;282;126;156;;48;32 ;16 ;;30;13 ;17 ;;37;17 ;20 ;;36;16 ;20 ;;66;22 ;44 ;;65;26 ;39 ;41.806
;07. Chamberí;176;61;115;;28;11 ;17 ;;13;9 ;4 ;;17;6 ;11 ;;33;12 ;21 ;;44;13 ;31 ;;41;10 ;31 ;27.239
;08. Fuencarral-El Pardo;249;105;144;;42;24 ;18 ;;19;6 ;13 ;;31;15 ;16 ;;45;19 ;26 ;;62;22 ;40 ;;50;19 ;31 ;36.700
;09. Moncloa-Aravaca;151;71;80;;12;8 ;4 ;;10;7 ;3 ;;18;7 ;11 ;;27;14 ;13 ;;39;16 ;23 ;;45;19 ;26 ;19.954
;10. Latina;474;205;269;;65;32 ;33 ;;34;19 ;15 ;;51;17 ;34 ;;94;39 ;55 ;;118;59 ;59 ;;112;39 ;73 ;72.860
;11. Carabanchel;501;230;271;;86;48 ;38 ;;43;16 ;27 ;;57;19 ;38 ;;91;43 ;48 ;;125;61 ;64 ;;99;43 ;56 ;76.418
;12. Usera ;263;125;138;;53;34 ;19 ;;18;7 ;11 ;;21;10 ;11 ;;41;18 ;23 ;;77;28 ;49 ;;53;28 ;25 ;39.691
;13. Puente de Vallecas;518;236;282;;92;56 ;36 ;;54;28 ;26 ;;61;26 ;35 ;;86;36 ;50 ;;136;50 ;86 ;;89;40 ;49 ;82.367
;14. Moratalaz;129;52;77;;12;4 ;8 ;;10;3 ;7 ;;10;3 ;7 ;;25;7 ;18 ;;36;19 ;17 ;;36;16 ;20 ;18.559
;15. Ciudad Lineal;407;160;247;;47;22 ;25 ;;24;13 ;11 ;;46;25 ;21 ;;71;22 ;49 ;;120;42 ;78 ;;99;36 ;63 ;56.574
;16. Hortaleza;211;107;104;;28;23 ;5 ;;16;9 ;7 ;;25;12 ;13 ;;32;14 ;18 ;;55;23 ;32 ;;55;26 ;29 ;31.781
;17. Villaverde;57;22;35;;6;2 ;4 ;;3;1 ;2 ;;10;5 ;5 ;;10;3 ;7 ;;12;4 ;8 ;;16;7 ;9 ;9.939
;18. Villa de Vallecas;85;44;41;;15;11 ;4 ;;7;5 ;2 ;;9;4 ;5 ;;18;8 ;10 ;;23;11 ;12 ;;13;5 ;8 ;14.887
;19. Vicálvaro ;102;44;58;;9;4 ;5 ;;9;2 ;7 ;;12;4 ;8 ;;18;6 ;12 ;;30;16 ;14 ;;24;12 ;12 ;13.912
;20. San Blas-Canillejas;261;127;134;;38;24 ;14 ;;16;10 ;6 ;;29;16 ;13 ;;44;14 ;30 ;;82;39 ;43 ;;52;24 ;28 ;32.451
;21. Barajas ;30;14;16;;7;4 ;3 ;;2;0 ;2 ;;1;0 ;1 ;;14;7 ;7 ;;5;3 ;2 ;;1;0 ;1 ;6.368
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NOTA: En comidas se atienden a personas menores de 65 años incluidas en el grupo 65-69;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FUENTE: Área de Gobierno de Familias, Igualdad y Bienestar Social. Dirección General de Mayores;;;;;;;;;;;;;;;;;;;;;;;;;;;;
