;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Acceso a 
Banco Datos";SERVICIOS SOCIALES. ATENCIÓN A LAS PERSONAS MAYORES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datos;3. Usuarios de Teleasistencia domiciliaria Municipal y subvencionada por Distrito según Grupo de edad y Sexo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total;;;;< 65 años;;;;65-69;;;;70-74;;;;75-79;;;;80-84;80-84;;;85-89;85-89;;;>90;>90;
"Acceso a 
Banco Datos";Distrito;Domicilios (1);;Ambos sexos ;Hombres;Mujeres;;Ambos sexos ;Hombres;Mujeres;;Ambos sexos ;Hombres;Mujeres;;Ambos sexos ;Hombres;Mujeres;;Ambos sexos ;Hombres;Mujeres;;Ambos sexos ;Hombres;Mujeres;;Ambos sexos ;Hombres;Mujeres;;Ambos sexos ;Hombres;Mujeres
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datos;2021 ;122.765;;145.559;38.749;106.810;;3.270;1.433;1.837;;2.961;858;2.103;;8.360;2.069;6.291;;19.822;4.585;15.237;;35.890;8.948;26.942;;41.996;11.809;30.187;;33.260;9.047;24.213
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;01. Centro;3.689;;4.175;1.037;3.138;;108;55;53;;122;38;84;;245;81;164;;558;142;416;;855;209;646;;1.146;243;903;;1.141;269;872
;02. Arganzuela;4.925;;5.764;1.420;4.344;;126;53;73;;92;27;65;;336;75;261;;730;163;567;;1.213;293;920;;1.739;399;1.340;;1.528;410;1.118
;03. Retiro;4.635;;5.366;1.250;4.116;;67;30;37;;118;30;88;;297;63;234;;665;162;503;;1.233;257;976;;1.598;405;1.193;;1.388;303;1.085
;04. Salamanca;5.308;;6.158;1.379;4.779;;74;30;44;;124;28;96;;369;87;282;;744;153;591;;1.327;289;1.038;;1.862;425;1.437;;1.658;367;1.291
;05. Chamartín;4.855;;5.598;1.292;4.306;;82;31;51;;119;24;95;;269;66;203;;608;134;474;;1.126;223;903;;1.670;386;1.284;;1.724;428;1.296
;06. Tetuán;5.874;;6.773;1.681;5.092;;204;85;119;;148;51;97;;326;97;229;;819;181;638;;1.372;330;1.042;;2.038;495;1.543;;1.866;442;1.424
;07. Chamberí;5.110;;5.753;1.162;4.591;;82;30;52;;135;37;98;;376;85;291;;747;148;599;;1.273;266;1.007;;1.334;253;1.081;;1.806;343;1.463
;08. Fuencarral-El Pardo;7.450;;8.904;2.444;6.460;;180;82;98;;154;47;107;;515;112;403;;1.280;290;990;;2.151;566;1.585;;2.690;780;1.910;;1.934;567;1.367
;09. Moncloa-Aravaca;3.711;;4.388;1.110;3.278;;75;37;38;;75;11;64;;247;64;183;;640;147;493;;1.095;244;851;;1.094;296;798;;1.162;311;851
;10. Latina;11.646;;13.957;3.850;10.107;;267;107;160;;229;67;162;;745;154;591;;2.194;473;1.721;;3.771;1.012;2.759;;3.524;1.088;2.436;;3.227;949;2.278
;11. Carabanchel;10.185;;12.114;3.313;8.801;;322;136;186;;204;67;137;;613;164;449;;1.542;357;1.185;;2.983;764;2.219;;3.708;1.078;2.630;;2.742;747;1.995
;12. Usera;5.835;;6.967;1.923;5.044;;197;93;104;;168;43;125;;445;100;345;;914;194;720;;1.742;456;1.286;;2.250;693;1.557;;1.251;344;907
;13. Puente de Vallecas;10.330;;12.390;3.491;8.899;;347;149;198;;338;119;219;;807;226;581;;1.655;418;1.237;;3.296;830;2.466;;3.809;1.102;2.707;;2.138;647;1.491
;14. Moratalaz;5.471;;6.570;1.823;4.747;;109;52;57;;111;32;79;;337;70;267;;902;201;701;;1.773;429;1.344;;2.151;685;1.466;;1.187;354;833
;15. Ciudad Lineal;9.528;;11.288;2.937;8.351;;221;94;127;;193;44;149;;574;140;434;;1.384;291;1.093;;2.771;642;2.129;;3.110;869;2.241;;3.035;857;2.178
;16. Hortaleza;5.499;;6.639;1.852;4.787;;143;67;76;;125;36;89;;431;92;339;;1.125;289;836;;1.755;466;1.289;;1.630;468;1.162;;1.430;434;996
;17. Villaverde;6.445;;8.027;2.483;5.544;;210;92;118;;181;61;120;;506;153;353;;1.210;300;910;;2.215;626;1.589;;2.545;874;1.671;;1.160;377;783
;18. Villa de Vallecas;2.511;;2.962;854;2.108;;118;56;62;;106;36;70;;214;62;152;;482;114;368;;824;220;604;;804;244;560;;414;122;292
;19. Vicálvaro;2.471;;3.071;1.005;2.066;;105;46;59;;57;12;45;;175;42;133;;518;133;385;;950;297;653;;880;321;559;;386;154;232
;20. San Blas-Canillejas;6.086;;7.208;1.982;5.226;;178;84;94;;136;38;98;;400;103;297;;848;217;631;;1.800;414;1.386;;2.048;587;1.461;;1.798;539;1.259
;21. Barajas;1.201;;1.487;461;1.026;;55;24;31;;26;10;16;;133;33;100;;257;78;179;;365;115;250;;366;118;248;;285;83;202
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NOTA: (1) Usuarios con dispositivo de teleasistencia instalado en su domicilio (en un mismo domicilio pueden ser varias personas beneficiarias del Servicio);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FUENTE: Área de Gobierno de Familias, Igualdad y Bienestar Social. Dirección General de Mayores;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
