;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Acceso a 
Banco Datos";SERVICIOS SOCIALES. ATENCIÓN A LAS PERSONAS MAYORES;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datos;9. Usuarios de productos de Apoyo Municipal (camas articuladas, grúas geriátricas y colchones antiescaras) por Distrito, según Grupos edad y Sexo;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Total;;;;65-69;;;;70-74;70-74;;;75-79;;;;80-84;;;;85-89;;;;>90;;
;Distrito;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2021 ;847;250;597;;386;87;299;;15;6;9;;37;15;22;;67;31;36;;133;52;81;;209;59;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;01. Centro;26;8;18;;16;2;14;;0;0 ;0 ;;0;0 ;0 ;;1;0 ;1 ;;0;0 ;0 ;;9 ;6 ;3
;02. Arganzuela;27;5;22;;15;3;12;;1;1 ;0 ;;1;0 ;1 ;;2;1 ;1 ;;1;0 ;1 ;;7 ;0 ;7
;03. Retiro;49;10;39;;32;6;26;;0;0 ;0 ;;1;0 ;1 ;;3;1 ;2 ;;2;1 ;1 ;;11 ;2 ;9
;04. Salamanca;38;8;30;;22;6;16;;2;1 ;1 ;;0;0 ;0 ;;1;0 ;1 ;;4;1 ;3 ;;9 ;0 ;9
;05. Chamartín;30;7;23;;17;2;15;;0;0 ;0 ;;1;0 ;1 ;;2;2 ;0 ;;6;0 ;6 ;;4 ;3 ;1
;06. Tetuán;29;3;26;;13;0;13;;0;0 ;0 ;;2;1 ;1 ;;0;0 ;0 ;;3;1 ;2 ;;11 ;1 ;10
;07. Chamberí;43;13;30;;22;5;17;;0;0 ;0 ;;2;1 ;1 ;;1;0 ;1 ;;10;4 ;6 ;;8 ;3 ;5
;08. Fuencarral-El Pardo;25;11;14;;6;1;5;;4;2 ;2 ;;3;2 ;1 ;;4;2 ;2 ;;4;2 ;2 ;;4 ;2 ;2
;09. Moncloa-Aravaca;24;6;18;;13;2;11;;1;1 ;0 ;;0;0 ;0 ;;1;1 ;0 ;;4;1 ;3 ;;5 ;1 ;4
;10. Latina;53;20;33;;24;9;15;;2;0 ;2 ;;2;1 ;1 ;;7;4 ;3 ;;10;4 ;6 ;;8 ;2 ;6
;11. Carabanchel;84;28;56;;40;11;29;;1;1 ;0 ;;4;3 ;1 ;;8;3 ;5 ;;13;4 ;9 ;;18 ;6 ;12
;12. Usera;38;12;26;;19;5;14;;1;0 ;1 ;;1;0 ;1 ;;2;1 ;1 ;;4;2 ;2 ;;11 ;4 ;7
;13. Puente de Vallecas;84;26;58;;33;11;22;;2;0 ;2 ;;9;4 ;5 ;;6;2 ;4 ;;11;4 ;7 ;;23 ;5 ;18
;14. Moratalaz;35;9;26;;17;3;14;;0;0 ;0 ;;2;0 ;2 ;;1;0 ;1 ;;6;2 ;4 ;;9 ;4 ;5
;15. Ciudad Lineal;88;24;64;;32;5;27;;1;0 ;1 ;;3;2 ;1 ;;11;4 ;7 ;;18;8 ;10 ;;23 ;5 ;18
;16. Hortaleza;50;19;31;;16;5;11;;0;0 ;0 ;;1;0 ;1 ;;7;5 ;2 ;;12;5 ;7 ;;14 ;4 ;10
;17. Villaverde;35;14;21;;15;5;10;;0;0 ;0 ;;1;0 ;1 ;;1;0 ;1 ;;10;5 ;5 ;;8 ;4 ;4
;18. Villa de Vallecas;11;4;7;;5;1;4;;0;0 ;0 ;;0;0 ;0 ;;1;1 ;0 ;;3;2 ;1 ;;2 ;0 ;2
;19. Vicálvaro;26;9;17;;6;0;6;;0;0 ;0 ;;1;0 ;1 ;;3;1 ;2 ;;5;4 ;1 ;;11 ;4 ;7
;20. San Blas-Canillejas;34;10;24;;17;4;13;;0;0 ;0 ;;1;1 ;0 ;;4;2 ;2 ;;5;1 ;4 ;;7 ;2 ;5
;21. Barajas;18;4;14;;6;1;5;;0;0 ;0 ;;2;0 ;2 ;;1;1 ;0 ;;2;1 ;1 ;;7 ;1 ;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NOTA: En productos de apoyo se atienden a personas menores de 65 años incluidas en el grupo 65-69;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FUENTE: Área de Gobierno de Familias, Igualdad y Bienestar Social. Dirección General de Mayores;;;;;;;;;;;;;;;;;;;;;;;;;;;
