PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;TITULARIDAD;"JORNADA
(días de apertura)";HORARIO USO EDUCATIVO;USOS EXTRAESCOLARES CENTRO;OTROS USOS ;CATEGORÍA PATIO;Nº PATIOS;ACCESIBILIDAD2;"ACCESO DIRECTO
 DESDE LA CALLE";OTROS ACCESOS;ASEOS ACCESIBLES DESDE PATIO;SOMBRA;MOBILIARIO;"SERVICIOS
Alumbrado, fuentes";SUPERFICIE  PATIO (m²);ESTADO DE CONSERVACIÓN DEL PATIO ;PROXIMIDAD ZONAS VERDES;PROXIMIDAD EQUIPAMIENTOS;OBSERVACIONES
5081;Colegio Público Amador de los Ríos;;;Comedor - Planes de mejora;METRO: Manuel Becerra  BUS: 12 , 2 , 56 , 71 , 143, 156, C2;"ENSEÑANZA: Educación Infantil - Primaria - Enseñanza biling&amp;uuml;e";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bde8a3f5ca71c010VgnVCM1000000b205a0aRCRD;MARQUES DE ZAFRA;PASEO;V;16;;;;;MADRID;MADRID;28028;FUENTE DEL BERRO;SALAMANCA;443459;4475286;40.426.279.629.183.600;-36.665.578.263.940.500;917 252 610;917 261 891;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;Actividades extraescolares 16:00-17:00;Actividades deportivas ;I;2;SI;SI (paseo Marqués de Zafra y c/ Florencio Díaz);-;SI (un patio);NO;Columpios, porterías, canastas, bancos;-;1610,42;Actualmente en obras;Jardín de las Mujeres de Ventas (140m), Quinta de la Fuente del Berro (500m);Centro Deportivo Fuente del Berro (650m);
5083;Colegio Público Amós Acero;;;Comedor - Integración preferente (Trastornos generales del desarrollo);METRO: Nueva Numancia , Portazgo BUS: 10 , 54 , 57 , 58 , 103 , 111 , 310 , 410;ENSEÑANZA: Educación Infantil - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0309a3f5ca71c010VgnVCM1000000b205a0aRCRD;RODRIGUEZ ESPINOSA;CALLE;NUM;54;;;;;MADRID;MADRID;28053;PALOMERAS BAJAS;PUENTE DE VALLECAS;443664;4471282;40.390.223.332.282.200;-36.637.750.346.593.500;914 785 161;914 772 415;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;Actividades extraescolares 16:00-20:00;"Escuelas Deportivas Municipales y el Programa ""Quedamos al salir de clase""";III;1;SI;NO;-;NO;SI (2x12m);Porterías, canastas;NO;612,31;Mejorable (suelos en mal estado);Parque Amós Acero (150m), Parque del Payaso Fofó (500m);El Espacio (300m), CDM Angel Nieto (550m), Instalación Deportiva Básica (700m), Biblioteca Vallecas (800m);
5295314;Colegio Público Angel Nieto;"ENSEÑANZA: Educacion Infantil - Primaria - Enseñanza biling&amp;uuml;e";;;Metro: Las Suertes Bus: 142 y 145;"ENSEÑANZA: Educacion Infantil - Primaria - Enseñanza biling&amp;uuml;e  Centro de nueva creación Curso 2019-20 Se imparte niveles desde infantil hasta primero de primaria.";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e5ebe48403b60210VgnVCM2000000c205a0aRCRD;LAS SUERTES;AVENIDA;V;109;;;;;MADRID;MADRID;28051;ENSANCHE DE VALLECAS;VILLA DE VALLECAS;450106;4468011;4.036.117.774.761.700;-3.587.611.628.781.370;912 723 449 - 660 486 591;;cp.angelnieto.madrid@educa.madrid.org;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;Actividades extraescolares 16:00-18:30;-;III;2;SI;NO;-;NO;NO;NO;NO;-;Sin terminar de construir;Parque de la Gavia (300m), Plaza Las Artes (400m);-;
5085;Colegio Público Antonio de Nebrija;;;Comedor - Horario ampliado - Planes de mejora;BUS: 85 , 123 RENFE: Villaverde Bajo;ENSEÑANZA: Educación Infantil - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5819a3f5ca71c010VgnVCM1000000b205a0aRCRD;JUAN JOSE MARTINEZ SECO;CALLE;V;77;;;;;MADRID;MADRID;28021;LOS ROSALES;VILLAVERDE;441729;4467039;4.035.186.683.091.610;-36.861.847.074.521.800;917 963 500;915 051 317;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;Actividades extraescolares 16:00-19:00;Federaciones deportivas;II;2;SI;SI (c/ Villarramiel);c/ Pilar Lorengar, c/ Diamante;SI;NO;Porterías, canastas, pistas vóley, bancos;Alumbrado, fuente;440,45;Recién reformado;;;
5792171;Colegio Público Antonio Fontan;;;;Bus: 134, 178;ENSEÑANZA: Educación Infantil - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=93f1a0910bcca210VgnVCM2000000c205a0aRCRD;SANTUARIO DE VALVERDE;AVENIDA;V;71;;;;;MADRID;MADRID;28049;EL GOLOSO;FUENCARRAL-EL PARDO;441221;4484771;4.051.157.829.071.120;-36.938.180.692.699.600;911 722 243;911 720 010;cp.antoniofontan.madrid@educa.madrid.org;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes PARTIDA;9:00-16:00;Actividades extraescolares 16:00-17:00;Actividades AMPA 16:00-18:00, Club Voleybol 18:00-20:00;II;3;SI;SI;-;SI;SI (20%);Canastas, porterías, bancos, papeleras;Alumbrado, fuente;3086,44;Mejorable (una zona amplia inhabilitada por falta de arreglo);;;
5087;Colegio Público Antonio Machado;;;Comedor - Planes de mejora -  Horario ampliado;BUS: 35 , 47;ENSEÑANZA: Educación Infantil - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ad29a3f5ca71c010VgnVCM1000000b205a0aRCRD;ALLARIZ;CALLE;V;3;;;;;MADRID;MADRID;28044;BUENAVISTA;CARABANCHEL;436078;4469020;4.036.742.548.683.970;-37.541.975.520.390.900;915 088 661;914 006 788;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;Actividades extraescolares 16:00-18:00;-;III;1;NO (escaleras);SI (Av. Carabanchel Alto);-;NO;NO;Porterías, canastas;NO;3000,74;Bueno;;;
5088;Colegio Público Antonio Moreno Rosales;;;Comedor - Planes de mejora;METRO: Tirso de Molina , Antón Martín BUS: 6 , 26 , 32;ENSEÑANZA: Educación Infantil - Primaria Curso 2018/19 trasladado por obras al Colegio Público Perú / Calle Baleares 18.;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f249a3f5ca71c010VgnVCM1000000b205a0aRCRD;OLMO;CALLE;V;4;;;;;MADRID;MADRID;28012;EMBAJADORES;CENTRO;440501;4473665;4.041.147.059.852.910;-3.701.274.799.534.020;915 390 646;915 390 646;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;-;-;III;1;-;NO;-;-;-;-;-;264,65;-;Parque Casino de la Reina (700m);Centro Cultural Lavapies (240m);
5091;Colegio Público Aragón;;;Comedor - Planes de mejora;METRO: Miguel Hernández BUS: 54 , 58 , 103 , 142 , 143 , 144;"ENSEÑANZA: Educación infantil - Primaria Enseñanza bling&amp;uuml;e";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4859a3f5ca71c010VgnVCM1000000b205a0aRCRD;RAFAEL ALBERTI;AVENIDA;NUM;2;;;;;MADRID;MADRID;28038;PALOMERAS SURESTE;PUENTE DE VALLECAS;445907;4471511;4.039.244.393.012.930;-36.373.799.409.076.700;913 039 852;913 806 367;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-17:00;Actividades extraescolares 15:00-17:00;-;III;2;NO (escaleras);SI;-;NO;SI;Porterías, canastas;Alumbrado ;1953,73;Mejorable (falta de mantenimiento);Parque Lineal de Palomeras (150m);CD Nuevas Palomeras (0m);
5092;Colegio Público Aravaca;;;Integración (General) - Comedor;BUS: 160, 161;"ENSEÑANZA: Educación Infantil - Primaria -  Enseñanza Biling&amp;uuml;e -";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d69a3f5ca71c010VgnVCM1000000b205a0aRCRD;ESTUDIO;CALLE;V;6;;;;;MADRID;MADRID;28023;ARAVACA;MONCLOA-ARAVACA;433385;4479176;40.460.576.198.420.700;-37.857.037.462.052.000;913 078 119 - 913 071 832;913 071 832;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;Actividades extraescolares 16:00-17:00;;I;3;SI (algunas barreras, bordillos);SI (c/ Estudio);;SI;NO;Porterías, canastas, bancos; Fuente;5441;;Malo (salvo pistas deportivas);Parque Paseo Ermita (500m);Centro Cultural Aravaca (280m)
5093;Colegio Público Arcipreste de Hita;;;Comedor - Horario ampliado - Planes de mejora;METRO: Opañel BUS: 55 , 108 , 118 , 247;ENSEÑANZA: Educacion Infantil - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e289a3f5ca71c010VgnVCM1000000b205a0aRCRD;ANTONIO MORENO;CALLE;V;25;;;;;MADRID;MADRID;28025;ABRANTES;CARABANCHEL;438524;4470930;4.038.481.599.116.820;-3.725.574.252.110.710;915 605 495;914 605 635;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;Actividades extraescolares 16:00-18:00;-;III;1;SI;SI (c/ Antonio Moreno);-;NO;NO;Porterías, canastas, juegos;Alumbrado, fuente ;844,42;Bueno;Parque Emperatriz María de Austria;Polideportivo San Vicente de Saúl;
5094;Colegio Público Arquitecto Gaudí;;;Comedor - Horario ampliado - Planes de mejora;METRO: Pio XII BUS: 16 , 29 , 49 , 70 , 107 , 150 , 229;ENSEÑANZA: Educación infantil - Primaria;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3899a3f5ca71c010VgnVCM1000000b205a0aRCRD;ROSA JARDON;CALLE;V;10;;;;;MADRID;MADRID;28016;NUEVA ESPAÑA;CHAMARTIN;443279;4479632;4.046.541.828.100.190;-3.669.067.772.820.540;913 506 564;913 506 564;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes;9:00-16:00;Actividades extraescolares 16:00-17:00;Club deportivo 17:00-20:00;II;3;SI;SI;-;SI;Toldos (1 patio);Canastas, bancos;Alumbrado (1 patio);303,95 + 489,12;Bueno (recién arreglado);Jardín Gloria Fuertes (800m);Instalación deportiva (210m);Patio disgregado en espacios estrechos alrededor del edificio. 
5095;Colegio Público Asturias;;;Comedor - Horario ampliado - Planes de mejora;BUS: 54 , 144;"ENSEÑANZA: Educación infantil - Primaria - Enseñanza biling&amp;uuml;e";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d2c9a3f5ca71c010VgnVCM1000000b205a0aRCRD;ASTURIANOS;CALLE;V;2;;;;;MADRID;MADRID;28018;PALOMERAS SURESTE;PUENTE DE VALLECAS;445456;4470478;4.038.310.860.341.990;-36.426.052.252.549.700;917 770 635;917 850 680;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;Actividades extraescolares 16:00-17:00;Asociación Crecer martes 17:00-19:00;II;4;SI (patios inferiores);SI (c/ Asturianos);c/ Rafael Alberti;SI, no cumplen accesibilidad;Porches (en patio inferior);Porterías, canastas (arriba);Alumbrado (arriba);5051,2289;Bueno;Parque de La Paloma (30m), Parque Lineal de Palomeras (270m);Biblioteca Miguel hernandez (160m);
5431144;Colegio Público Ausias March;;;Horario ampliado - Comedor;Bus: 85;ENSEÑANZA: Educación infantil - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=67c74431fcf04210VgnVCM1000000b205a0aRCRD;ESTEFANITA;CALLE;V;9;;;;;MADRID;MADRID;28021;BUTARQUE;VILLAVERDE;442694;4466201;4.034.439.346.121.850;-3.674.746.714.234.170;917 109 916;917 964 694;p.ausiasmarch.madrid@educa.madrid.org;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes PARTIDA;9:00-16:00;Actividades extraescolares 16:00-18:00;Actividades complementarias en días no lectivos;III;2;SI;SI;-;NO;Pocos;Canastas, porterías, huerto, mesas, areneros;Alumbrado, fuente;2121,04;Regular (suelo se encharca);;;
5098;Colegio Público Azorín;;;Comedor - Transporte - Planes de mejora;BUS: 59 , 79;ENSEÑANZA: Educación Infantil - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7de9a3f5ca71c010VgnVCM1000000b205a0aRCRD;GODELLA;CALLE;V;57;;;;;MADRID;MADRID;28021;SAN CRISTOBAL;VILLAVERDE;441653;4466044;40.342.906.888.165.000;-36.870.005.154.391.800;917 975 733;917 231 639;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;;-;I;1;SI;SI;-;SI;2 Techados (9x9m);Canastas, juegos;Alumbrado débil, fuente;991,41;Necesita reforma;;;
5099;Colegio Público Barcelona;;;Comedor - Horario ampliado - Planes de mejora;BUS: 18 , 22 , 59 , 79 , 85 , 86 , 116;ENSEÑANZA: Educación Infantil - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c20aa3f5ca71c010VgnVCM1000000b205a0aRCRD;LA VERBENA DE LA PALOMA;AVENIDA;V;14;;;;;MADRID;MADRID;28041;LOS ANGELES;VILLAVERDE;440878;4467772;4.035.841.023.700.520;-3.696.273.094.000.050;913 603 078;913 179 568;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;Actividades extraescolares 16:00-18:00;-;II;2;SI;SI (Av Verbena de la Paloma);-;SI;NO;Porterías, canastas;Alumbrado, fuente;1070,13 + 867,54;Bueno;;;
7635761;Colegio Público Blas de Lezo;;;;Metro: Las Tablas Bus: 176;ENSEÑANZA: Educación infantil - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bb4868fe04878410VgnVCM2000000c205a0aRCRD;FROMISTA;CALLE;V;27;;;;;MADRID;MADRID;28050;VALVERDE;FUENCARRAL-EL PARDO;443068;4484732;40.511.360.317.811.200;-36.719.996.242.874.100;912 761 564 - 626 122 902;;cp.blasdelezo.madrid@educa.madrid.org;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes PARTIDA;9:00-16:00;Actividades extraescolares 16:00-18:30;Club Deportivo Chamartín Vergara 18:30-23:00 + fines de semana;III;3;-;SI (c/ Palas de Rey);c/ Fromista;NO;Toldos;Porterías, canastas, columpios, areneros;NO;-;Pendientes de algunos arreglos;;;
