num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehículo;tipo_persona;rango_edad;sexo;cod_lesividad;tipo_lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2019S000036;02/01/2019;20:45:00;AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES;65B;16;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 70 a 74 años;Hombre;3;Ingreso superior a 24 horas;444.591.127;4.479.784.701;N;NULL
2019S000045;03/01/2019;10:30:00;CTRA. DEHESA DE LA VILLA, 1;1;9;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;De 15 a 17 años;Hombre;2;Ingreso inferior o igual a 24 horas;438.315.991;4.478.761.412;N;NULL
2019S000132;03/01/2019;12:45:00;AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;64;18;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;448.366.684;4.469.893.796;N;NULL
2019S000132;03/01/2019;12:45:00;AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;64;18;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;448.366.684;4.469.893.796;N;NULL
2019S000133;03/01/2019;14:30:00;CALL. FELIPE ALVAREZ, 10;10;18;VILLA DE VALLECAS;Alcance;Se desconoce;Bicicleta;Conductor;De 15 a 17 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;447.078.477;4.470.344.997;N;NULL
2019S000306;04/01/2019;17:10:00;CALL. PRADILLO, 26;26;5;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442.893.724;4.477.784.651;N;NULL
2019S000641;04/01/2019;13:35:00;CALL. CAÑON DEL RIO LOBOS, 7A;7A;14;MORATALAZ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 65 a 69 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;446.461.067;4.473.051.643;N;NULL
2019S000659;01/01/2019;14:00:00;CALL. CASTELLO / CALL. DON RAMON DE LA CRUZ;60;4;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;1;Atención en urgencias sin posterior ingreso;442.218.740;4.475.612.690;N;NULL
2019S000904;07/01/2019;14:00:00;CALL. NUESTRA SEÑORA DE VALVERDE / CALL. DOCTOR JUAN BRAVO;2;8;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441.764.073;4.482.763.433;N;NULL
2019S001678;09/01/2019;12:50:00;CALL. GRAN VIA, 66;66;1;CENTRO;Alcance;Despejado;Bicicleta;Conductor;De 15 a 17 años;Hombre;NULL;NULL;439.854.516;4.474.862.412;N;NULL
2019S001738;08/01/2019;13:03:00;C/ MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE;25;8;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;441.249.856;4.484.718.672;N;NULL
2019S001943;09/01/2019;14:50:00;CALL. ANTONIO DE LEYVA, 84;84;11;CARABANCHEL;Colisión lateral;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439.160.331;4.471.027.621;N;NULL
2019S002373;08/01/2019;20:55:00;CALL. PUERTO DE LA CRUZ VERDE, 49;49;2;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;442.128.793;4.471.041.676;N;NULL
2019S002373;08/01/2019;20:55:00;CALL. PUERTO DE LA CRUZ VERDE, 49;49;2;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Peatón;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442.128.793;4.471.041.676;N;NULL
2019S002591;12/01/2019;22:15:00;AVDA. POBLADOS / CALL. SECOYA;109;11;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;437.901.464;4.469.445.798;N;NULL
2019S002594;12/01/2019;22:45:00;POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALL. SECOYA;0;10;LATINA;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;434.729.188;4.471.261.484;N;NULL
2019S002704;12/01/2019;13:00:00;CALL. SANCHIDRIAN, 13A;13A;10;LATINA;Alcance;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;434.184.773;4.471.970.438;N;NULL
2019S002788;14/01/2019;11:10:00;CALL. FLORA, 1;1;1;CENTRO;Caída;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439.972.908;4.474.416.388;N;NULL
