idPerson,dateTime,idDateTime,idAccident,adress,district,idDistrict,accident_type,weather_status,bicycle_is_electronic,person_type,age_range,sex,hospitalized,coordinate_x_utm,coordinate_y_utm,positive_alcohol
2019S000036,2019-01-02T20:45:00+02:00,20190102204500,2019010220450016,"AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES, 65B",16  HORTALEZA,16,Frontal-lateral collision,Clear,0,Driver,70 - 74,Man,1,444.591.127,4.479.784.701,0
2019S000045,2019-01-03T10:30:00+02:00,20190103103000,201901031030009 ,"CTRA. DEHESA DE LA VILLA, 1",9  MONCLOA-ARAVACA,9 ,Fall,Clear,0,Driver,15 - 17,Man,1,438.315.991,4.478.761.412,0
2019S000132,2019-01-03T12:45:00+02:00,20190103124500,2019010312450018,"AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA, 64",18  VILLA DE VALLECAS,18,Scope,Clear,0,Driver,18 - 20,Man,0,448.366.684,4.469.893.796,0
2019S000132,2019-01-03T12:45:00+02:00,20190103124500,2019010312450018,"AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA, 64",18  VILLA DE VALLECAS,18,Scope,Clear,0,Driver,21 - 24,Man,0,448.366.684,4.469.893.796,0
2019S000133,2019-01-03T14:30:00+02:00,20190103143000,2019010314300018,"CALL. FELIPE ALVAREZ, 10",18  VILLA DE VALLECAS,18,Scope,NULL,0,Driver,15 - 17,Man,0,447.078.477,4.470.344.997,0
2019S000306,2019-01-04T17:10:00+02:00,20190104171000,201901041710005 ,"CALL. PRADILLO, 26",5  CHAMARTÍN,5 ,Frontal-lateral collision,Clear,0,Driver,30 - 34,Man,0,442.893.724,4.477.784.651,0
2019S000641,2019-01-04T13:35:00+02:00,20190104133500,2019010413350014,"CALL. CAÑON DEL RIO LOBOS, 7A",14  MORATALAZ,14,Frontal-lateral collision,Clear,0,Driver,65 - 69,Man,0,446.461.067,4.473.051.643,0
2019S000659,2019-01-01T14:00:00+02:00,20190101140000,201901011400004 ,"CALL. CASTELLO / CALL. DON RAMON DE LA CRUZ, 60",4  SALAMANCA,4 ,Scope,Clear,0,Driver,25 - 29,Man,0,442.218.740,4.475.612.690,0
2019S000904,2019-01-07T14:00:00+02:00,20190107140000,201901071400008 ,"CALL. NUESTRA SEÑORA DE VALVERDE / CALL. DOCTOR JUAN BRAVO, 2",8  FUENCARRAL-EL PARDO,8 ,Frontal-lateral collision,Clear,0,Driver,30 - 34,Man,0,441.764.073,4.482.763.433,0
2019S001678,2019-01-09T12:50:00+02:00,20190109125000,201901091250001 ,"CALL. GRAN VIA, 66",1  CENTRO,1 ,Scope,Clear,0,Driver,15 - 17,Man,NULL,439.854.516,4.474.862.412,0
2019S001738,2019-01-08T13:03:00+02:00,20190108130300,201901081303008 ,"C/ MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE, 25",8  FUENCARRAL-EL PARDO,8 ,Fall,Clear,0,Driver,25 - 29,Man,1,441.249.856,4.484.718.672,0
2019S001943,2019-01-09T14:50:00+02:00,20190109145000,2019010914500011,"CALL. ANTONIO DE LEYVA, 84",11  CARABANCHEL,11,Lateral collision,Clear,0,Driver,30 - 34,Man,0,439.160.331,4.471.027.621,0
2019S002373,2019-01-08T20:55:00+02:00,20190108205500,201901082055002 ,"CALL. PUERTO DE LA CRUZ VERDE, 49",2  ARGANZUELA,2 ,Hitting a person,Clear,0,Driver,45 - 49,Man,0,442.128.793,4.471.041.676,0
2019S002373,2019-01-08T20:55:00+02:00,20190108205500,201901082055002 ,"CALL. PUERTO DE LA CRUZ VERDE, 49",2  ARGANZUELA,2 ,Hitting a person,Clear,0,Pedestrian,35 - 39,Man,0,442.128.793,4.471.041.676,0
2019S002591,2019-01-12T22:15:00+02:00,20190112221500,2019011222150011,"AVDA. POBLADOS / CALL. SECOYA, 109",11  CARABANCHEL,11,Crash against fixed obstacle,Clear,0,Driver,25 - 29,Man,1,437.901.464,4.469.445.798,0
2019S002594,2019-01-12T22:45:00+02:00,20190112224500,2019011222450010,"POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALL. SECOYA, 0",10  LATINA,10,Crash against fixed obstacle,Clear,0,Driver,25 - 29,Man,1,434.729.188,4.471.261.484,0
2019S002704,2019-01-12T13:00:00+02:00,20190112130000,2019011213000010,"CALL. SANCHIDRIAN, 13A",10  LATINA,10,Scope,Clear,0,Driver,45 - 49,Man,0,434.184.773,4.471.970.438,0
2019S002788,2019-01-14T11:10:00+02:00,20190114111000,201901141110001 ,"CALL. FLORA, 1",1  CENTRO,1 ,Fall,Clear,0,Driver,40 - 44,Man,0,439.972.908,4.474.416.388,0
2019S002882,2019-01-10T20:30:00+02:00,20190110203000,201901102030002 ,"PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS / CALL. GASOMETRO, 23",2  ARGANZUELA,2 ,Fall,Clear,0,Driver,50 - 54,Man,1,439.999.601,4.472.603.749,0
2019S003277,2019-01-14T16:30:00+02:00,20190114163000,2019011416300015,"CALL. SANTA GENOVEVA / PLAZA. AGUSTIN GONZALEZ, 2",15  CIUDAD LINEAL,15,Lateral collision,Clear,0,Driver,50 - 54,Woman,0,445.098.521,4.475.348.003,0
2019S003283,2019-01-11T16:00:00+02:00,20190111160000,201901111600001 ,"CALL. GRAN VIA / CALL. SAN BERNARDO, 3",1  CENTRO,1 ,Frontal-lateral collision,Clear,0,Driver,25 - 29,Man,0,439.942.934,4.474.788.750,0
2019S003306,2019-01-16T9:00:00+02:00,201901169:0:0+,201901169:0:0+15,"AVDA. DAROCA / CALL. NICOLAS SALMERON, 1",15  CIUDAD LINEAL,15,Frontal-lateral collision,Clear,0,Driver,35 - 39,Man,1,446.159.016,4.474.638.061,0
2019S003364,2019-01-12T13:03:00+02:00,20190112130300,2019011213030018,"AVDA. ENSANCHE DE VALLECAS, 44",18  VILLA DE VALLECAS,18,Frontal-lateral collision,NULL,0,Driver,15 - 17,Woman,0,448.350.971,4.468.767.824,0
2019S003463,2019-01-14T22:45:00+02:00,20190114224500,201901142245007 ,"CALL. MIGUEL ANGEL / PASEO. GENERAL MARTINEZ CAMPOS, 9",7  CHAMBERÍ,7 ,Frontal-lateral collision,NULL,0,Driver,25 - 29,Man,NULL,441.368.335,4.476.287.483,0
2019S003662,2019-01-17T6:00:00+02:00,201901176:0:0+,201901176:0:0+3 ,"CALL. DOCE DE OCTUBRE, 26",3  RETIRO,3 ,Crash against fixed obstacle,Clear,0,Driver,18 - 20,Man,1,442.783.223,4.474.144.945,0
2019S003749,2019-01-16T15:20:00+02:00,20190116152000,201901161520007 ,"PLAZA. CONDE DEL VALLE DE SUCHIL, 3",7  CHAMBERÍ,7 ,Fall,Clear,0,Driver,55 - 59,Woman,0,439.979.228,4.475.787.600,0
2019S004134,2019-01-14T20:20:00+02:00,20190114202000,201901142020008 ,"PASEO. EL PARDO, 37",8  FUENCARRAL-EL PARDO,8 ,Fall,Clear,0,Driver,40 - 44,Man,1,434.035.836,4.486.268.312,0
2019S004151,2019-01-17T16:15:00+02:00,20190117161500,201901171615005 ,"CALL. SERRANO, 141",5  CHAMARTÍN,5 ,Scope,Clear,0,Driver,45 - 49,Woman,0,441.850.714,4.477.304.341,0
2019S004271,2019-01-18T18:05:00+02:00,20190118180500,2019011818050020,"AVDA. FERMINA SEVILLANO, 42",20  SAN BLAS-CANILLEJAS,20,Frontal collision,NULL,0,Driver,45 - 49,Man,NULL,451.549.039,4.477.091.339,1
2019S004528,2019-01-19T21:10:00+02:00,20190119211000,201901192110004 ,"PLAZA. INDEPENDENCIA / CALL. ALCALA, 1",4  SALAMANCA,4 ,Frontal-lateral collision,Light rain,0,Driver,25 - 29,Man,1,441.529.911,4.474.604.135,0
2019S004582,2019-01-19T11:10:00+02:00,20190119111000,201901191110008 ,"CTRA. EL PARDO A FUENCARRAL, 0, 0",8  FUENCARRAL-EL PARDO,8 ,Fall,Clear,0,Driver,30 - 34,Man,1,438.875.430,4.484.216.739,0
2019S004601,2019-01-17T19:50:00+02:00,20190117195000,201901171950001 ,"CALL. ARENAL / CALL. DONADOS, 26",1  CENTRO,1 ,Lateral collision,Clear,0,Driver,21 - 24,Man,0,439.899.054,4.474.381.586,0
2019S004769,2019-01-18T7:55:00+02:00,201901187:5:0+,201901187:5:0+1 ,"CALL. GENOVA, 2",1  CENTRO,1 ,Fall,Clear,0,Driver,50 - 54,Man,1,441.007.753,4.475.438.297,0
2019S004939,2019-01-21T16:50:00+02:00,20190121165000,2019012116500016,"CALL. SAN ENRIQUE DE OSSO, 36",16  HORTALEZA,16,Frontal-lateral collision,Clear,0,Driver,10 - 14,Man,1,445.590.705,4.484.052.684,0
2019S005036,2019-01-24T11:15:00+02:00,20190124111500,201901241115006 ,"CALL. BRAVO MURILLO / CALL. PENSAMIENTO, 250",6  TETUÁN,6 ,Hitting a person,Clear,0,Driver,55 - 59,Man,0,440.734.502,4.479.027.422,0
2019S005036,2019-01-24T11:15:00+02:00,20190124111500,201901241115006 ,"CALL. BRAVO MURILLO / CALL. PENSAMIENTO, 250",6  TETUÁN,6 ,Hitting a person,Clear,0,Pedestrian,55 - 59,Woman,0,440.734.502,4.479.027.422,0
2019S005062,2019-01-23T15:38:00+02:00,20190123153800,2019012315380013,"AVDA. ALBUFERA, 149",13  PUENTE DE VALLECAS,13,Frontal-lateral collision,Clear,0,Driver,65 - 69,Man,0,444.209.966,4.471.480.436,0
2019S005101,2019-01-18T13:00:00+02:00,20190118130000,2019011813000019,"CALL. VILLABLANCA, 11",19  VICÁLVARO,19,Frontal-lateral collision,Clear,0,Driver,60 - 64,Man,1,448.452.543,4.473.281.704,0
