num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehículo;tipo_persona;rango_edad;sexo;cod_lesividad;tipo_lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2020S000044;02/01/2020;7:30:00;CALL. ALBASANZ / CALL. RUFINO GONZALEZ;23;20;SAN BLAS-CANILLEJAS;Colisión frontal;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;446.864.000;4.476.526.380;N;NULL
2020S000151;04/01/2020;13:45:00;CALL. ORENSE, 12;12;6;TETUÁN;Caída;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441.047.495;4.477.835.465;N;NULL
2020S000153;04/01/2020;12:10:00;CALL. NUESTRA SEÑORA DE VALVERDE, 209;209;8;FUENCARRAL-EL PARDO;Colisión múltiple;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;1;Atención en urgencias sin posterior ingreso;441.975.418;4.484.541.941;N;NULL
2020S000153;04/01/2020;12:10:00;CALL. NUESTRA SEÑORA DE VALVERDE, 209;209;8;FUENCARRAL-EL PARDO;Colisión múltiple;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;2;Ingreso inferior o igual a 24 horas;441.975.418;4.484.541.941;N;NULL
2020S000212;04/01/2020;13:30:00;M-605, KM 1,600 SOMONTES (CAMINO);20;8;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;439.165.869;4.484.558.247;N;NULL
2020S000305;07/01/2020;12:35:00;PASEO. FERNAN NUÑEZ / GTA. ANGEL CAIDO;1;3;RETIRO;Caída;Despejado;Bicicleta;Conductor;De 60 a 64 años;Hombre;3;Ingreso superior a 24 horas;442.044.388;4.473.595.162;N;NULL
2020S000326;05/01/2020;15:30:00;CALL. CLARA CAMPOAMOR, 13;13;11;CARABANCHEL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 15 a 17 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;437.734.073;4.470.769.953;N;NULL
2020S000350;07/01/2020;12:50:00;GTA. ANGEL CAIDO / PASEO. FERNAN NUÑEZ;4;3;RETIRO;Caída;Despejado;Bicicleta;Conductor;De 60 a 64 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442.046.763;4.473.589.689;N;NULL
2020S000398;08/01/2020;19:15:00;CALL. VALVERDE, 13;13;1;CENTRO;Alcance;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440.442.628;4.474.757.364;N;NULL
2020S000403;08/01/2020;19:35:00;GTA. RUIZ JIMENEZ / CALL. SAN BERNARDO;6;1;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 40 a 44 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;440.089.821;4.475.677.417;N;NULL
2020S000479;09/01/2020;21:30:00;CALL. GRAN VIA, 40;40;1;CENTRO;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;440.205.765;4.474.641.751;N;NULL
2020S000502;10/01/2020;8:55:00;PLAZA. CRONOS, 4;4;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;447.507.097;4.476.737.241;N;NULL
2020S000560;10/01/2020;23:55:00;CALL. ANDRES BORREGO, 18;18;1;CENTRO;Caída;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;440.081.544;4.475.059.112;N;NULL
2020S000706;12/01/2020;9:50:00;PASEO. EMBARCADERO, 1;1;9;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;De 65 a 69 años;Hombre;2;Ingreso inferior o igual a 24 horas;438.630.643;4.474.483.046;N;NULL
2020S000749;11/01/2020;16:00:00;PASEO. DELICIAS, 7;7;2;ARGANZUELA;Colisión lateral;Despejado;Bicicleta;Conductor;De 30 a 34 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;441.174.250;4.473.097.648;N;NULL
2020S000778;07/01/2020;21:48:00;AVDA. INSTITUCION LIBRE DE ENSEÑANZA, 21;21;20;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;Conductor;De 50 a 54 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;446.102.907;4.476.162.278;N;NULL
2020S000779;12/01/2020;21:30:00;GTA. CUATRO CAMINOS / AVDA. REINA VICTORIA;4;6;TETUÁN;Alcance;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;NULL;NULL;440.261.833;4.477.610.553;N;NULL
2020S000853;13/01/2020;21:00:00;CALL. PEPE HILLO / AVDA. CHAMPAGNAT;2;16;HORTALEZA;Colisión lateral;Despejado;Bicicleta;Conductor;De 15 a 17 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;445.796.421;4.478.046.997;N;NULL
