;;;;;;;;;;;;;;
"Acceso a 
Banco Datos";SERVICIOS SOCIALES. ATENCIÓN A LAS PERSONAS MAYORES;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;
Datos;6. Media mensual de usuarios de Centros Residenciales Municipales por Grupo de edad, Sexo y Tipo de usuario;;;;;;;;;;;;;
;Grupo de edad / Sexo;;Total;Válidos;;;;;Asistidos;;;;;
;;;;Total;Apartamentos para Mayores Distrito Centro;;Apartamentos para Mayores Distrito Retiro;;Total;Residencia Santa Engracia;;Residencia Jazmín (Alzheimer);;Residencia Margarita Retuerto (Alzheimer)
;;;;;;;;;;;;;;
;2021 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Total;Ambos sexos;271;99 ;67;;32;;172;35;;50;;87
;;Hombres;105;43 ;25;;18;;62;16;;19;;26
;;Mujeres;165;55 ;42;;13;;110;18;;31;;61
;;;;;;;;;;;;;;
;50 a 54 años;Ambos sexos;0;0;0;;0;;0;0;;0;;0
;;Hombres;0;0;0;;0;;0;0;;0;;0
;;Mujeres;0;0;0;;0;;0;0;;0;;0
;55 a 59 años;Ambos sexos;4;2;0;;0;;2;1;;0;;1
;;Hombres;2;1;0;;0;;1;0;;0;;1
;;Mujeres;2;1;0;;0;;1;1;;0;;0
;60 a 64 años;Ambos sexos;10;5;0;;1;;4;0;;1;;3
;;Hombres;4;2;0;;0;;2;0;;1;;1
;;Mujeres;6;3;0;;1;;2;0;;0;;2
;65 a 69 años;Ambos sexos;31;20;4;;4;;12;4;;3;;5
;;Hombres;13;7;0;;1;;6;1;;3;;2
;;Mujeres;18;13;4;;3;;6;2;;0;;3
;70 a 74 años;Ambos sexos;54;35;12;;4;;19;5;;5;;9
;;Hombres;36;21;6;;1;;14;5;;3;;7
;;Mujeres;19;14;6;;3;;5;0;;2;;2
;75 a 79 años;Ambos sexos;77;52;17;;10;;25;4;;6;;15
;;Hombres;38;27;8;;8;;11;4;;1;;6
;;Mujeres;40;25;9;;2;;14;0;;5;;9
;80 a 84 años;Ambos sexos;107;66;14;;11;;41;7;;15;;19
;;Hombres;37;26;7;;7;;12;4;;5;;3
;;Mujeres;69;39;7;;3;;29;3;;10;;16
;85 a 89 años;Ambos sexos;71;43;12;;2;;29;6;;8;;15
;;Hombres;20;12;3;;1;;8;2;;3;;3
;;Mujeres;52;31;9;;1;;21;4;;5;;12
;90 a 94 años;Ambos sexos;68;37;7;;0;;30;6;;8;;17
;;Hombres;13;7;1;;0;;6;1;;2;;3
;;Mujeres;55;31;6;;0;;25;5;;5;;14
;95 a 99 años;Ambos sexos;17;9;1;;0;;8;2;;4;;2
;;Hombres;3;2;0;;0;;2;0;;2;;0
;;Mujeres;14;8;1;;0;;7;2;;3;;2
;100 y más años;Ambos sexos;3;1;0;;0;;1;0;;0;;1
;;Hombres;1;0;0;;0;;0;0;;0;;0
;;Mujeres;2;1;0;;0;;1;0;;0;;1
;;;;;;;;;;;;;;
;FUENTE: Área de Gobierno de Familias, Igualdad y Bienestar Social. Dirección General de Mayores;;;;;;;;;;;;;
