;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Acceso a 
Banco Datos";SERVICIOS SOCIALES. ATENCIÓN A LAS PERSONAS MAYORES;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datos;7. Servicios prestados y Usuarios atendidos por Grupo de Edad y Sexo en el Servicio de Lavandería por Distrito ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Servicios;Total;;;;65-69;;;;70-74;;;;75-89;75-79;;;80-84;;;;85-89;;;;>90;;
"Acceso a 
Banco Datos";Distrito;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres;;Ambos sexos;Hombres;Mujeres
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datos;2021 ;38.486;319;192;127;;101;71;30;;35;25;10;;48;34;14;;42;20;22;;54;28;26;;39;14;25
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;01. Centro;6.472;56;32;24;;14;11;3;;5;4;1;;13;7;6;;5;2;3;;11;4;7;;8;4;4
;02. Arganzuela;1.931;20;13;7;;3;2;1;;1;1;0;;4;3;1;;5;2;3;;6;4;2;;1;1;0
;03. Retiro;417;3;0;3;;0;0;0;;1;0;1;;0;0;0;;2;0;2;;0;0;0;;0;0;0
;04. Salamanca;2.036;21;11;10;;6;2;4;;2;1;1;;5;4;1;;5;3;2;;1;1;0;;2;0;2
;05. Chamartín;1.152;12;4;8;;4;1;3;;0;0;0;;1;1;0;;3;1;2;;2;0;2;;2;1;1
;06. Tetuán;1.399;12;7;5;;6;4;2;;2;1;1;;1;0;1;;0;0;0;;3;2;1;;0;0;0
;07. Chamberí;3.955;33;24;9;;12;9;3;;5;4;1;;5;5;0;;3;1;2;;5;4;1;;3;1;2
;08. Fuencarral-El Pardo;1.123;13;9;4;;4;3;1;;2;1;1;;0;0;0;;0;0;0;;4;3;1;;3;2;1
;09. Moncloa-Aravaca;1.100;8;6;2;;3;2;1;;2;1;1;;2;2;0;;0;0;0;;1;1;0;;0;0;0
;10. Latina;1.978;10;7;3;;3;3;0;;1;1;0;;0;0;0;;1;0;1;;1;1;0;;4;2;2
;11. Carabanchel;4.506;38;26;12;;13;12;1;;7;6;1;;5;2;3;;6;5;1;;3;1;2;;4;0;4
;12. Usera;1.800;9;6;3;;4;4;0;;0;0;0;;1;0;1;;2;1;1;;2;1;1;;0;0;0
;13. Puente de Vallecas;1.796;15;9;6;;6;3;3;;1;1;0;;3;3;0;;3;1;2;;0;0;0;;2;1;1
;14. Moratalaz;201;4;3;1;;1;1;0;;0;0;0;;1;1;0;;0;0;0;;1;1;0;;1;0;1
;15. Ciudad Lineal;3.102;22;12;10;;10;7;3;;0;0;0;;1;1;0;;3;1;2;;5;2;3;;3;1;2
;16. Hortaleza;821;8;4;4;;0;0;0;;2;1;1;;0;0;0;;1;0;1;;4;2;2;;1;1;0
;17. Villaverde;2.130;14;8;6;;5;3;2;;2;2;0;;2;2;0;;1;1;0;;1;0;1;;3;0;3
;18. Villa de Vallecas;908;5;2;3;;1;0;1;;0;0;0;;0;0;0;;1;1;0;;3;1;2;;0;0;0
;19. Vicálvaro;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0
;20. San Blas-Canillejas;1.569;12;6;6;;4;2;2;;1;0;1;;4;3;1;;1;1;0;;1;0;1;;1;0;1
;21. Barajas;93;4;3;1;;2;2;0;;1;1;0;;0;0;0;;0;0;0;;0;0;0;;1;0;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NOTA: En el servicio de lavandería se atienden a personas menores de 65 años incluidas en el grupo 65-69;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FUENTE: Área de Gobierno de Familias, Igualdad y Bienestar Social. Dirección General de Mayores;;;;;;;;;;;;;;;;;;;;;;;;;;;;
