PK,name,openingHours,same_as_wikidata_SubwayStation1,SubwayStation 1,same_as_wikidata_SubwayStation2,SubwayStation 2,same_as_wikidata_SubwayStation3,SubwayStation 3,busLine,description,accesibility,url,address,COD-MadridNeighborhood,same_as_wikidata_MadridNeighborhood,MadridNeighborhood,COD-District,same_as_wikidata_District,District,latitude,longitude,telephone
188403,Doctor Salgado Alba,Unidad de Estancia Diurna (UED): lunes a viernes de 08:00 a 20:00 h Unidad de Intervención Ambulatoria (UIA): lunes a viernes de 09:00 a 14:00 h (posibilidad de turno de tarde) Servicio de ocio y tiempo libre en fines de semana: sábado y domingo de 10:00 a 18:00 h,http://www.wikidata.org/entity/Q2056948,Marqués_de_Vadillo,,,,,"34, 35, 119",ACCESO    Solicitud en el centro de Servicios Sociales que corresponda a la persona junto con el informe médico. Personas mayores de 30 años y menores de 65 años. Estar empadronado en Madrid. Presentar algún tipo de deterioro cognitivo de inicio precoz. No presentar trastorno mental o de conducta que dificulte la adhesión al tratamiento.,true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cd0a654d9d91f010VgnVCM2000000c205a0aRCRD,"CALLE ARMENGOT, 2, 28019 MADRID",3,http://www.wikidata.org/entity/Q3813733,San Isidro,11,http://www.wikidata.org/entity/Q1001991,Carabanchel,40.39690187683445,-3.7180540271539098,914 799 411
60986,Edad Dorada,De 8:15 a 18 horas de Lunes a Viernes.,http://www.wikidata.org/entity/Q1115250,La_Latina,,,,,"17, 18, 23, 35, 60","Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=79488ed67151c010VgnVCM2000000c205a0aRCRD,"PLAZA GENERAL VARA DE REY, 9, 28005 MADRID",2,http://www.wikidata.org/entity/Q2449844,Embajadores,1,http://www.wikidata.org/entity/Q1763376,Centro,40.40929932684141,-3.7086772240833703,91 366 28 94
5419656,Quavitae Centro,De 8:15 a 18 horas de lunes a viernes.,http://www.wikidata.org/entity/Q2219895,Plaza_de_España_/_Noviciado,http://www.wikidata.org/entity/Q2125964,Santo_Domingo,http://www.wikidata.org/entity/Q776249,Estación_de_Plaza_de_España_(SubwayStation_de_Madrid),"1, 2, 3, 44, 46, 74, 75, 133, 147, 148, N16, N18, N19, N29, N21, M2.","Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=514f1c85e47c3210VgnVCM1000000b205a0aRCRD,"CALLE SAN BERNARDO, 39, 28015 MADRID",5,http://www.wikidata.org/entity/Q10387767,Universidad,1,http://www.wikidata.org/entity/Q1763376,Centro,40.423558295641016,-3.7075890942619667,915 590 569
4563830,Acuario,De 8:15 a 18 horas de Lunes a Viernes.,,,,,,,"101, 105, 115","Documentación a aportar:    Solicitud en impreso específico. Informe médico donde se indique el diagnóstico o enfermedad. Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.   Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4ce04d4adb222110VgnVCM1000000b205a0aRCRD,"CALLE ACUARIO, 27, 28042 MADRID",3,http://www.wikidata.org/entity/Q9701730,Casco Histórico de Barajas,21,http://www.wikidata.org/entity/Q807230,Barajas,40.474801968086524,-3.5796914517468617,919 907 714
10911088,Almorox Cognitivo,De 8:15 a 18 horas de Lunes a Viernes.,http://www.wikidata.org/entity/Q2482098,Valdezarza,,,,,"126, 127, 132","Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=82287cc895279610VgnVCM2000001f4a900aRCRD,"CALLE ALMOROX, 6, 28039 MADRID",4,http://www.wikidata.org/entity/Q10388728,Valdezarza,9,http://www.wikidata.org/entity/Q2017682,Moncloa-Aravaca,40.463872700574974,-3.7117984678094866,914 598 455
115892,Almorox Físico,De 8:15 a 18 horas de Lunes a Viernes.,http://www.wikidata.org/entity/Q2482098,Valdezarza,,,,,"126, 127, 132","Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d9a8899fc81c010VgnVCM1000000b205a0aRCRD,"CALLE ALMOROX, 6, 28039 MADRID",4,http://www.wikidata.org/entity/Q10388728,Valdezarza,9,http://www.wikidata.org/entity/Q2017682,Moncloa-Aravaca,40.463872700574974,-3.7117984678094866,914 598 455
96764,Arganzuela,De 8:15 a 18 horas de Lunes a Viernes.,http://www.wikidata.org/entity/Q2481204,Palos_de_la_Frontera,,,,,"6, 8, 47, 55, 59, 85, 86, 102, 147","Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9ef677d35f81c010VgnVCM1000000b205a0aRCRD,"CALLE CANARIAS, 17, 28045 MADRID",6,http://www.wikidata.org/entity/Q521009,Palos de la Frontera,2,http://www.wikidata.org/entity/Q2000929,Arganzuela,40.40207279862862,-3.6955325387824014,918 330 672
11774,Ascao,De 8:15 a 18 horas de Lunes a Viernes.,,,,,,,28,"Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a7a6d4985261c010VgnVCM1000000b205a0aRCRD,"CALLE ASCAO, 4, 28017 MADRID",2,http://www.wikidata.org/entity/Q71753,Pueblo Nuevo,15,http://www.wikidata.org/entity/Q1763694,Ciudad Lineal,40.43074546065829,-3.6399224619608535,917 547 730
10911096,Aurora Villa Cognitivo,De 8:15 a 18 horas de Lunes a Viernes.,http://www.wikidata.org/entity/Q2696501,Urgel,,,,,"118, 119, 34, 35, 108","Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=61c87cc895279610VgnVCM2000001f4a900aRCRD,"CALLE MERCEDES ARTEAGA, 18, 28019 MADRID",2,http://www.wikidata.org/entity/Q3813756,Opañel,11,http://www.wikidata.org/entity/Q1001991,Carabanchel,40.393724223671555,-3.721534053950492,914 725 733
4572630,Aurora Villa Físico,De 8:15 a 18 horas de Lunes a Viernes.,http://www.wikidata.org/entity/Q2696501,Urgel,,,,,"118, 119, 34, 35, 108","Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=40599fb186072110VgnVCM1000000b205a0aRCRD,"CALLE MERCEDES ARTEAGA, 18, 28019 MADRID",2,http://www.wikidata.org/entity/Q3813756,Opañel,11,http://www.wikidata.org/entity/Q1001991,Carabanchel,40.393724223671555,-3.721534053950492,914 725 733
