Órgano_Gestor,OrganoGestor,Importe_Concedido,Fecha_Concesión,Función_de_la_subvención,Tipo_concesion,Nominativa
27,ÁREA GOBIERNO DE EQUIDAD. DERECHOS SOCIALES Y EMPLEO,336.72,30.12.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
213,DISTRITO DE PUENTE DE VALLECAS,6000.00,11.02.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,1237.98,16.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,900.00,22.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,92.50,16.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,486.85,16.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,365.51,16.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,834.68,16.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,2900.00,16.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,600.00,22.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,600.00,16.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,476.00,22.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,478.40,22.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,159.80,16.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,159.80,20.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,1076.00,20.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,435.00,20.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,695.50,20.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,328.38,20.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,2415.20,20.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,469.94,20.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,1084.98,20.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,1566.48,20.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,522.16,20.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,2327.25,20.01.2020,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
