id,type,name,address,latitude,longitude,detail,zip_code,city,district,subdistrict,tax_code,register_date,phone,email,website,category,geographical_scope,num_affiliates,assoc_affiliated,belongs_to
12092a75caa75e4644fd2869f0b6c45a,FOUNDATION,FUNDACION MASNATUR,"CALLE FERRAZ,55",40.429982,-3.7214953,LOCAL,28008,MADRID,MONCLOA-ARAVACA,ARGUELLES,G81791147,29/06/2018,915474035,fundacion@masnatur.org,http://www.masnatur.org,DE PERSONAS CON DISCAPACIDAD,ESTATAL,3,, 
e1fc9c082df6cfff8cbcfff2b5a722ef,FOUNDATION,FUNDACION AMPAO,"CALLE NUÑEZ MORGADO,4",40.46839629999999,-3.685121,1º - 11,28036,MADRID,CHAMARTIN,CASTILLA,G82382482,23/07/2018,639846835,ampao@fundacionampao.com,http://www.fundacionampao.org,DE SALUD Y APOYO MUTUO,COMUNIDAD DE MADRID,28,, 
13d63838ef1fb6f34ca2dc6821c60e49,FOUNDATION,FUNDACION ACOBE,"CALLE VIRGEN DEL SAGRARIO,19",40.4373786,-3.6506484,BAJO DCHA,28027,MADRID,CIUDAD LINEAL,CONCEPCION,G85933984,24/07/2018,914049502,acobe@acobe.org,http://www.acobe.org,DE INMIGRANTES,ESTATAL,19144,, 
51e6d6e679953c6311757004d8cbbba9,FOUNDATION,FUNDACION SER,"CALLE MARQUES DE URQUIJO,47",40.4288,-3.721178,unknown,28008,MADRID,MONCLOA-ARAVACA,ARGUELLES,G82725516,17/08/2018,915547443,fundacion-ser@fundacion-ser.org,unknown,DE PERSONAS CON DISCAPACIDAD,ESTATAL,70,, 
73fed7fd472e502d8908794430511f4d,FOUNDATION,FUNDACIÓN ESPLAI CIUDADANIA COMPROMETIDA,"CALLE LA LATINA,21",40.40066119999999,-3.7509673,LOCAL 13,28047,MADRID,CENTRO,LA LATINA,G62090535,20/08/2018,911681686,fundacion@fundacionesplai.org,unknown,OTRAS DE ACCIÓN SOCIAL,ESTATAL,4,, 
735143e9ff8c47def504f1ba0442df98,FOUNDATION,FUNDACIÓN ARRAIGO CARLOS ARA,"CALLE VIEJA DE PINTO,14",40.3477281,-3.7089293,unknown,28021,MADRID,VILLAVERDE,VILLAVERDE ALTO C.H.,G87433991,17/08/2018,682244821,alfredomartin@ancesmei.com,http://fundacionarraigo.org,DE INMIGRANTES,COMUNIDAD DE MADRID,3,, 
2974788b53f73e7950e8aa49f3a306db,FOUNDATION,FUNDACION AL FANAR PARA EL CONOCIMIENTO ARABE,"CALLE COLMENARES,5",40.4205694,-3.6970138,4º IZQ,28004,MADRID,CENTRO,JUSTICIA,G86392776,17/08/2018,649635528,contacto@fundacionalfanar.org,http://www.fundacionalfanar.org,CULTURALES Y CASAS REGIONALES,ESTATAL,5,, 
e91068fff3d7fa1594dfdf3b4308433a,FOUNDATION,FUNDACION INICIATIVAS SUR,"PLAZA ASOCIACION,1",40.3697225,-3.7081405,unknown,28041,MADRID,USERA,ORCASITAS,G80663347,20/08/2018,913412698,gerencia@iniciativassur.com,unknown,OTRAS DE ACCIÓN SOCIAL,COMUNIDAD DE MADRID,8,, 
b071cfa81605a94ad80cfa2bbc747448,FOUNDATION,FUNDACION ADEMO,"CALLE HACIENDA DE PAVONES,328",40.4003301,-3.6382839,unknown,28030,MADRID,MORATALAZ,FONTARRON,G82047879,21/08/2018,917723500,gerencia@fundacionademo.org,http://www.ademo.org,DE PERSONAS CON DISCAPACIDAD,COMUNIDAD DE MADRID,7,, 
966b6dfb6b0819cc10644bea3115cf20,FOUNDATION,FUNDACION TOMILLO,"CALLE ALBUÑUELAS,15",40.3659768,-3.6980386,unknown,28041,MADRID,USERA,ORCASUR,G28979136,22/08/2018,913698201,proyectos.sociales@tomillo.org,http://www.tomillo.org,OTRAS DE ACCIÓN SOCIAL,ESTATAL,12,, 
