id,type,name,address,detail,zip_code,city,district,subdistrict,tax_code,register_date,phone,email,internet,category,geographical_scope,asoc_totales,asoc_madrid,socios_madrid,num_affilitates,belongs_to
0ffb5f23d8f776c37352368173ae3541,FEDERATION,PLENA INCLUSION MADRID. ORGANIZACION DE ENTIDADES EN FAVOR DE PERSONAS CON DISCAPACIDAD INTELECTUAL DE MADRID,"AVENIDA CIUDAD DE BARCELONA,108.0",ESC. 2ª BJ. DCHA.,28007,MADRID,PACIFICO,,G28729853,1994-05-02T20:00:00Z,915018335,info@plenamadrid.org,http://plenainclusionmadrid.org/,DE PERSONAS CON DISCAPACIDAD,COMUNIDAD DE MADRID,118,65,15000, , 
c2c945c34a7f5fc41c82497b398628e3,FEDERATION,COORDINADORA INFANTIL Y JUVENIL DE TIEMPO LIBRE DE VALLECAS,"CALLE JAVIER DE MIGUEL,92.0",2,,MADRID,unknown,,unknown,unknown,unknown,unknown,Unkown,Unkwon,unknown,unknown,unknown,unknown, , 
5742f4683ffcd64873b28c2c386533da,FEDERATION,FEDERACION CATOLICA  DE ASOCIACIONES DE PADRES DE FAMILIA Y PADRES DE ALUMNOS DE MADRID - FECAPA,"CALLE DON RAMON DE LA CRUZ,90.0",1º IZDA.,28006,MADRID,GOYA,,G28719193,1991-11-11T22:00:00Z,unknown,madrid@fecapa.e.telefonica.net,Unkown,DE MADRES Y PADRES DEL ALUMNADO,COMUNIDAD DE MADRID,237,192,180000, , 
03b4528282851fa9f10e6c506bedc91e,FEDERATION,FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM,"CALLE CAMINO DE LOS VINATEROS,53.0",BIS 1º,28030,MADRID,MEDIA LEGUA,,G28749836,1988-04-06T20:00:00Z,917252909,ADMINISTRACION@AAVVMADRID.ORG,http://www.aavvmadrid.org,VECINALES,COMUNIDAD DE MADRID,289,184,89663, , 
479b733d8008a6ab2dbb6ce7a29d5457,FEDERATION,FERMAD - PLATAFORMA MADRILEÑA DE ENTIDADES PARA LA ASISTENCIA A LA PERSONA ADICTA Y SU FAMILIA,"CALLE CONDE DE ROMANONES,9.0",4º DCHA.,28012,MADRID,EMBAJADORES,,G78406550,1990-10-04T22:00:00Z,913694448,fermad@telefonica.net,http://www.fermad.org,DE SALUD Y APOYO MUTUO,COMUNIDAD DE MADRID,22,19,1158, , 
f54c4f05d25fe92ee4e7cb8aec1ce998,FEDERATION,CONFEDERACION ESPAÑOLA DE AULAS DE TERCERA EDAD,"AVENIDA AMERICA,1.0",,,MADRID,unknown,,unknown,2022-07-20T20:00:00Z,696297014,admin@ceate.es,www.ceate.es,DE PERSONAS MAYORES,unknown,unknown,unknown,unknown, , 
92b8faff2a3b77e283ee4a3c9e150a58,FEDERATION,FEDERACION DE ASOCIACIONES PARA LA DEFENSA DE LA SANIDAD PUBLICA,"CALLE ARROYO DE LA MEDIA LEGUA,29.0",PUERTA 49,,MADRID,unknown,,G81042236,2022-07-17T20:00:00Z,913339087,fadspu@gmail.com,www.fadsp.es,DE SALUD Y APOYO MUTUO,ESTATAL,12,9747,2042, , 
274146415baaa9c018f19bb2942eb10e,FEDERATION,FEDERACION DE VECINOS DE MADRID - VEM,"CALLE VICTOR ANDRES BELAUNDE,52.0",PISO BAJO,,MADRID,unknown,,unknown,unknown,unknown,unknown,Unkown,Unkwon,unknown,unknown,unknown,unknown, , 
351fa9111aaa7629241aaceb4d9d1c21,FEDERATION,FEDERACION DE ASOCIACIONES DE MUJERES “LIBRES Y COMBATIVAS” DE LA COMUNIDAD DE MADRID,"CALLE HERMANOS DEL MORAL,33.0",PLANTA BAJA,,MADRID,unknown,,unknown,unknown,unknown,unknown,Unkown,Unkwon,unknown,unknown,unknown,unknown, , 
c2340b54f0fac7640e662baaabee4417,FEDERATION,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS""","CALLE PILAR DE ZARAGOZA,22.0",BAJO-JARDIN,28028,MADRID,GUINDALERA,,G28848497,1989-06-29T20:00:00Z,915539773,info@fapaginerdelosrios.es,http://www.fapaginerdelosrios.org,DE MADRES Y PADRES DEL ALUMNADO,COMUNIDAD DE MADRID,903,379,56852, , 
3dbf7aa4dbf4774e89071ccc138a6781,FEDERATION,FEDERACION DE ASOCIACIONES CIUDADANAS DE CONSUMIDORES Y USUARIOS MADRID - FACUM,"CALLE CAVA BAJA,30.0",LOCAL 7,28005,MADRID,PALACIO,,G79281424,1989-06-26T20:00:00Z,913640276,info@cecumadrid.org,Unkown,DE PERSONAS CONSUMIDORAS Y USUARIAS,COMUNIDAD DE MADRID,3,3,1030, , 
bab311caa9a3a965da04cb28bca43f74,FEDERATION,FEDERACION DE ASOCIACIONES PARA LA PREVENCION DEL MALTRATO INFANTIL,"CALLE DELICIAS,8.0",ENTREPLANTA,,MADRID,unknown,,G79986493,2021-11-24T22:00:00Z,914682662,alejandra.pascual@fapmi.es,www.fapmi.es,OTRAS DE ACCIÓN SOCIAL,ESTATAL,10,1,0, , 
589492da11444148a0507bd23f0091f2,FEDERATION,CONFEDERACION ESPAÑOLA DE PERSONAS CON DISCAPACIDAD FISICA Y ORGANICA (COCEMFE),"CALLE EUGENIO SALAZAR,2.0",,,MADRID,unknown,,G28681955,2021-09-27T20:00:00Z,917443600,juridico@cocemfe.es,www.cocemfe.es,DE PERSONAS CON DISCAPACIDAD,ESTATAL,91,30,225340, , 
448e4b1a0ea7d2f25c23a1df498ebfb1,FEDERATION,FEDERACION MADRILEÑA DE ESPELEOLOGIA,"AVENIDA SALAS DE LOS INFANTES,1.0",PISO 3º,,MADRID,unknown,,unknown,unknown,unknown,unknown,Unkown,Unkwon,unknown,unknown,unknown,unknown, , 
ee98aa2e3193d47b5f20893bdddc2f2c,FEDERATION,FEDERACION DE PERITOS,,,,MADRID,unknown,,unknown,unknown,unknown,unknown,Unkown,Unkwon,unknown,unknown,unknown,unknown, , 
7b3c01cf6e6339f51e5e3a7c63816935,FEDERATION,FEDERACION ERASMUS STUDENT NETWORK ESPAÑA,"CALLE EINSTEIN,7.0",,,MADRID,unknown,,V83340406,2021-05-27T20:00:00Z,631482642,secretariado@esn-spain.org,Unkown,DE ESTUDIANTES /ALUMNADO,ESTATAL,38,5,5190, , 
64bf997801072f7d09590fd8adee68f0,FEDERATION,FEMADEN – FEDERACION MADRILEÑA DE ENFERMEDADES NEUROLOGICAS,"CAMINO VALDERRIBAS,115.0",BAJO,,MADRID,unknown,,G83868778,2021-05-24T20:00:00Z,647620736,femaden@femaden.org,http://www.femaden.org,DE PERSONAS CON DISCAPACIDAD,COMUNIDAD DE MADRID,4,4,3470, , 
78b6be1b15d26fe0d799364ea7103572,FEDERATION,FEDERACION DE ASOCIACIONES REGIONALES DE ESTUDIANTES DE CIENCIAS ECONOMICAS Y EMPRESARIALES - AIESEC EN ESPAÑA,"CALLE LA REGALADA,5.0",3º-A,,MADRID,unknown,,G80240096,2021-03-29T20:00:00Z,640194223,finanzasylegalidad@aiesec.es,Unkown,DE ESTUDIANTES /ALUMNADO,ESTATAL,8,1,25, , 
