Num_Inscripcion,Razon_Social,Tipo_Via,Calle,Numero,Aproximacion,Cod_Postal,Poblacion,CIF,Fecha_Registro,Primer_Tlfn,Email,Internet,Distrito,Barrio,Categoria,Ambito,Num_Socios,NumInscripcion_Fed_Vinculada,RazonSocial_Fed_Vinculada
999,ONDA MERLIN COMUNITARIA-RADIO SURESTE,CALLE,DIAMANTE,22,,28021,MADRID,G79092722,14/10/1994,649857547,administracion@omcradio.org,http://www.omcradio.org,VILLAVERDE,LOS ROSALES,DE COMUNICACIÓN,MUNICIPIO,114,2052,UNION DE RADIOS LIBRES Y COMUNITARIAS DE MADRID
998,ASOCIACION CULTURAL ATENEA,PLAZA,VIRGEN DE LOS LLANOS,3,Y 4,28044,MADRID,G79675617,11/10/1994,917051020,,,LATINA,LAS AGUILAS,CULTURALES Y CASAS REGIONALES,BARRIO,625,,
997,ASOCIACION DE PADRES DE ALUMNOS COLEGIO PUBLICO DANIEL VAZQUEZ DIAZ,CALLE,ARMENTEROS,46,,28039,MADRID,G28576478,28/09/1994,600517703,ampacolegiodvd@gmail.com,,MONCLOA-ARAVACA,VALDEZARZA,DE MADRES Y PADRES DEL ALUMNADO,BARRIO,100,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
995,ASOCIACION DE VECINOS DE EL PLANTIO DISTRITO MONCLOA,CALLE,RAFAEL VILLA,78 D,PISO 2. LETRA D,28023,MADRID,G80907520,07/11/1994,650543532,vecindarioelplantio@gmail.com,,MONCLOA-ARAVACA,EL PLANTIO,VECINALES,MUNICIPIO,54,,
993,ASOCIACION MUJERES LAS AGUILAS,CALLE,BLAS CABRERA,125,1º,28044,MADRID,G80286297,26/09/1994,917050388,amlaguilas@hotmail.com,,LATINA,LAS AGUILAS,DE MUJERES,DISTRITO,328,,
990,ASOCIACION CULTURAL RECREATIVA ESCUELA FUTBOL CARABANCHEL,PLAZA,LAS MENINAS,2,,28025,MADRID,G80035066,22/07/1994,914699538,,http://www.escuelafutbolcarabanchel.com,CARABANCHEL,ABRANTES,CULTURALES Y CASAS REGIONALES,DISTRITO,723,,
99,ASOCIACION DE VECINOS LAS MUSAS LAS ROSAS,CALLE,CARLOS II,12,BJ,28022,MADRID,G79500732,19/04/1988,913131521,avvlasmusas2@hotmail.com,http://www.avlasmusas-lasrosas.org,SAN BLAS-CANILLEJAS,ROSAS,VECINALES,MUNICIPIO,1111,67,FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM
988,CENTRO ENCUENTRO Y FORMACION OPAÑEL,PLAZA,CANTORIA,2,BAJO IZQ.,28019,MADRID,G80589229,08/07/1994,914729540,amo@amo.org.es,,CARABANCHEL,OPAÑEL,DE MUJERES,BARRIO,117,,
984,AGRUPACION CORAL FERNANDO DE LOS RIOS,CALLE,MARQUES DE JURA REAL,26,PISO 1º,28019,MADRID,G78680410,28/06/1994,661301535,coralfdrios@hotmail.com,http://www.coralfernandodelosrios.org,CARABANCHEL,COMILLAS,CULTURALES Y CASAS REGIONALES,INTERNACIONAL,21,,
981,ASOCIACION DE MADRES Y PADRES DE ALUMNOS COLEGIO DE EDUCACION INFANTIL Y PRIMARIA CUBA,CALLE,TEMBLEQUE,58,,28024,MADRID,G80428774,02/06/1994,617296198,ampaceipcuba.aluche@gmail.com,,LATINA,ALUCHE,DE MADRES Y PADRES DEL ALUMNADO,BARRIO,24,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
98,ASOCIACION LUCHA ANTIDROGA LATINA. ALAD-LATINA,CALLE,BLAS CABRERA,125,,28044,MADRID,G78781952,18/04/1988,917050388,aladlatina@hotmail.com,,LATINA,LAS AGUILAS,DE SALUD Y APOYO MUTUO,DISTRITO,295,594,FERMAD - PLATAFORMA MADRILEÑA DE ENTIDADES PARA LA ASISTENCIA A LA PERSONA ADICTA Y SU FAMILIA
974,ASOCIACION DE MADRES Y PADRES DE ALUMNOS ESCUELA INFANTIL LA JARA,CALLE,HIJAS DE JESUS,30,,28026,MADRID,G80307267,29/03/1994,914769480,ampa.lajara.usera@gmail.com,http://ampalajarausera.blogspot.com,USERA,ALMENDRALES,DE MADRES Y PADRES DEL ALUMNADO,MUNICIPIO,90,,
973,ASOCIACION ALBAR 42,CALLE,MURO,9,BAJO B,28042,MADRID,G83988576,21/04/1994,629455581,asociacionalbar42@hotmail.com,,BARAJAS,TIMON,CULTURALES Y CASAS REGIONALES,COMUNIDAD DE MADRID,44,,
971,ASOCIACION DE MADRES Y PADRES DE ALUMNOS  DEL INSTITUTO DE EDUCACION SECUNDARIA SANTA EUGENIA,CALLE,CERRO ALMODOVAR,5,,28031,MADRID,G80182819,02/03/1994,655691162,info@ampaiessantaeugenia.es,http://ampaiessantaeugenia.es,VILLA VALLECAS,SANTA EUGENIA,DE MADRES Y PADRES DEL ALUMNADO,MUNICIPIO,48,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
970,ASOCIACION DE PADRES DE ALUMNOS COLEGIO PUBLICO ROSA LUXEMBURGO,CALLE,BARDEGUERAL,16,18,28023,MADRID,G79794244,01/02/1994,650021740,amparosaluxemburgo@gmail.com,http://aparosaluxemburgo.org,MONCLOA-ARAVACA,ARAVACA,DE MADRES Y PADRES DEL ALUMNADO,MUNICIPIO,268,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
97,ASOCIACION DE VECINOS SANTA ANA DE FUENCARRAL,CALLE,HOSPITALET DE LLOBREGAT,10,BAJO,28034,MADRID,G78383205,18/04/1988,917343350,asociacion.santaana@hotmail.com,,FUENCARRAL-EL PARDO,VALVERDE,VECINALES,COMUNIDAD DE MADRID,110,67,FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM
