Num Inscripción;Denominación;Tipo_Via;Calle;Numero;Aproximacion;Cod_Postal;Poblacion;Barrio;CIF;Fecha_Registro;Primer_Tlfn;Email;Internet;Categoria;Ambito;Num_Socios;Fecha IPM
3443;FUNDACION MASNATUR;CALLE;FERRAZ;55;LOCAL;28008;MADRID;ARGUELLES;G81791147;29/06/2018;915474035;fundacion@masnatur.org;www.masnatur.org;DE PERSONAS CON DISCAPACIDAD;ESTATAL;3; 
3457;FUNDACION AMPAO;CALLE;NUÑEZ MORGADO;4;PLANTA 1ª, PUERTA 111;28036;MADRID;CASTILLA;G82382482;23/07/2018;639846835;ampao@fundacionampao.com;http://www.fundacionampao.org;DE SALUD Y APOYO MUTUO;COMUNIDAD DE MADRID;28; 
3459;FUNDACION ACOBE;CALLE;VIRGEN DEL SAGRARIO;19;BAJO DERECHA;28027;MADRID;CONCEPCION;G85933984;24/07/2018;914049502;acobe@acobe.org;http://www.acobe.org;DE INMIGRANTES;ESTATAL;19144; 
3464;FUNDACION SER;CALLE;MARQUES DE URQUIJO;47;;28008;MADRID;ARGUELLES;G82725516;17/08/2018;915547443;fundacion-ser@fundacion-ser.org;;DE PERSONAS CON DISCAPACIDAD;ESTATAL;70; 
3470;FUNDACIÓN ESPLAI CIUDADANIA COMPROMETIDA;CALLE;LA LATINA;21;LOCAL 13;28047;MADRID; ;G62090535;20/08/2018;911681686;fundacion@fundacionesplai.org;;OTRAS DE ACCIÓN SOCIAL;ESTATAL;4;13/07/2021
3471;FUNDACIÓN ARRAIGO CARLOS ARA;CALLE;VIEJA DE PINTO;14;;28021;MADRID;VILLAVERDE ALTO C.H.;G87433991;17/08/2018;682244821;alfredomartin@ancesmei.com;FUNDACIONARRAIGO.ORG;DE INMIGRANTES;COMUNIDAD DE MADRID;3; 
3472;FUNDACION AL FANAR PARA EL CONOCIMIENTO ARABE ;CALLE;COLMENARES;5;PLANTA 4ª, PUERTA IZQDA.;28004;MADRID;JUSTICIA;G86392776;17/08/2018;649635528;contacto@fundacionalfanar.org;www.fundacionalfanar.org;CULTURALES Y CASAS REGIONALES;ESTATAL;5; 
3474;FUNDACION INICIATIVAS SUR;PLAZA;ASOCIACION;1;;28041;MADRID;ORCASITAS;G80663347;20/08/2018;913412698;gerencia@iniciativassur.com;;OTRAS DE ACCIÓN SOCIAL;COMUNIDAD DE MADRID;8; 
3478;FUNDACION ADEMO;CALLE;HACIENDA DE PAVONES;328;;28030;MADRID;FONTARRON;G82047879;21/08/2018;917723500;gerencia@fundacionademo.org;www.ademo.org;DE PERSONAS CON DISCAPACIDAD;COMUNIDAD DE MADRID;7; 
3484;FUNDACION TOMILLO;CALLE;ALBUÑUELAS;15;;28041;MADRID;ORCASUR;G28979136;22/08/2018;913698201;proyectos.sociales@tomillo.org;http://www.tomillo.org;OTRAS DE ACCIÓN SOCIAL;ESTATAL;12;05/08/2022
3487;FUNDACION EXIT;CALLE;SERRANO ANGUITA;13;;28004;MADRID;JUSTICIA;G62203047;12/09/2018;913551970;saradilullo@fundacionexit.org;;JUVENILES;ESTATAL;33;23/08/2019
3488;FUNDACION CULTURA ISLAMICA;CALLE;GUZMAN EL BUENO;3;PLANTA 2ª, PUERTA DCHA.;28015;MADRID;GAZTAMBIDE;G79545547;12/09/2018;915434673;info@funci.org;www.funci.org;CULTURALES Y CASAS REGIONALES;ESTATAL;8; 
3491;FUNDACION PRIVADA MADRID CONTRA LA ESCLEROSIS MULTIPLE (FEMM);AVENIDA;ASTURIAS;35;LOCAL;28029;MADRID;ALMENARA;G82400284;12/09/2018;913993245;proyectos@femmadrid.org;http://www.femmadrid.org;DE SALUD Y APOYO MUTUO;COMUNIDAD DE MADRID;1300; 
3497;FUNDACION RAYO VALLECANO;CALLE;RAYO VALLECANO DE MADRID;2;;28051;MADRID;ENSANCHE DE VALLECAS;G82999582;19/09/2018;917570551;informacion@fundacionrayovallecano.es;;DEPORTIVAS;ESTATAL;5; 
3503;FUNDACION ITAKA ESCOLAPIOS;CALLE;CAMARENA;149;;28047;MADRID;ALUCHE;G95146841;09/10/2018;636547778;sedemadrid@itakaescolapios.org;;INFANTILES;ESTATAL;1145; 
3507;FUNDACIÓN GRANDES AMIGOS EN ACCIÓN;CALLE;EMBAJADORES;206;PORTAL DUPLIC. PLANTA 1ª, PUERTA C;28045;MADRID;LEGAZPI;G83625509;09/10/2018;913599305;info@amigosdelosmayores.org;;DE SALUD Y APOYO MUTUO;ESTATAL;1054; 
3508;FUNDACION SINDROME DE DOWN DE MADRID;CALLE;MEMORIAL 11 DE MARZO DE 2004;15;;28016;MADRID;CASTILLA;G81854283;09/10/2018;913105364;fsdownmadrid@downmadrid.org;http://downmadrid.org;DE PERSONAS CON DISCAPACIDAD;COMUNIDAD DE MADRID;3055; 
3512;FUNDACION AMIGO;CALLE;ZACARIAS HOMS;18;;28043;MADRID;CANILLAS;G81454969;09/10/2018;913002385;accionsocial@fundacionamigo.org;http://www.fundacionamigo.org;FAMILIAS;ESTATAL;125;21/07/2022
3514;FUNDACION CARLOS MARTIN;AVENIDA;RAFAEL ALBERTI;4;;28038;MADRID;PALOMERAS SURESTE;G82736323;19/10/2018;913807370;fcm@fundacioncarlosmartin.com;;DE PERSONAS CON DISCAPACIDAD;COMUNIDAD DE MADRID;7; 
3516;FUNDACION DEPORTE BASE;CALLE;ARCOS DE JALON;20;PLANTA 3ª;28037;MADRID;ARCOS;G82696006;19/10/2018;913062694;info@deportebase.org;www.deportebase.org;DEPORTIVAS;ESTATAL;5; 
3525;FUNDACION RED DE APOYO A LA INTEGRACION SOCIOLABORAL (RAIS);CALLE;ARDEMANS;42;;28028;MADRID;GUINDALERA;G83207712;19/10/2018;917251726;proyectos@raisfundacion.org;https://hogarsi.org/;OTRAS DE ACCIÓN SOCIAL;ESTATAL;837; 
3527;FUNDACION AMANECER;CALLE;MATILDE DIEZ;8;;28002;MADRID;CIUDAD JARDIN;G28575348;29/10/2018;637059821;plaboralamanecer@yahoo.es;;DE PERSONAS CON DISCAPACIDAD;ESTATAL;5; 
3541;FUNDACION VOCES PARA LA CONCIENCIA Y EL DESARROLLO;CALLE;TORPEDERO TUCUMAN;33;;28016;MADRID;NUEVA ESPAÑA;G85867521;28/11/2018;637751168;c.soriano@voces.org.es;http://voces.org.es ;PARA LA COOPERACIÓN AL DESARROLLO;ESTATAL;8; 
3547;FUNDACION TALLER DE SOLIDARIDAD;CALLE;LOPE DE RUEDA;46;PLANTA 2ª, PUERTA E;28009;MADRID;IBIZA;G83105783;18/12/2018;915359558;proyectos@tallerdesolidaridad.org;;PARA LA COOPERACIÓN AL DESARROLLO;ESTATAL;10; 
3558;FUNDACION GESTION Y PARTICIPACION SOCIAL;CALLE;JAVIER DE MIGUEL;92;ESCALERA 2, PLANTA BAJA, PUERTA 5;28018;MADRID;PALOMERAS BAJAS;G83300194;11/01/2019;910611195;fgps@asociaciones.org;http://www.asociaciones.org;FAMILIAS;ESTATAL;3; 
3559;FUNDACION DEL LESIONADO MEDULAR;CAMINO;VALDERRIBAS;115;;28038;MADRID;NUMANCIA;G81842130;11/01/2019;917775544;administracion@medular.org;http://www.medular.org;DE PERSONAS CON DISCAPACIDAD;COMUNIDAD DE MADRID;0; 
3580;FUNDACION DILAYA;CALLE;PONZANO;63;ESCALERA 2, PLANTA 1ª-A;28003;MADRID;RIOS ROSAS;G87074662;18/02/2019;616763796;cooperacion@fundaciondilaya.org;www.fundaciondilaya.org;PARA LA COOPERACIÓN AL DESARROLLO;ESTATAL;352; 
3581;FUNDACION PRO DERECHOS HUMANOS MIGUEL ANGEL BLANCO;CALLE;MANTUANO;51;;28002;MADRID;CIUDAD JARDIN;G81909012;18/02/2019;914203253;coordinacion@fmiguelangelblanco.es;;DE DERECHOS HUMANOS;ESTATAL;4; 
3592;FUNDACION MAYORES DE HOY ;CALLE;POETA JOAN MARAGALL;56;PLANTA 7ª, PUERTA D;28020;MADRID;CASTILLEJOS;G87243127;21/02/2019;913734750;info@fundacionmayoresdehoy.org;;DE PERSONAS MAYORES, JUBILADAS Y PENSIONISTAS;ESTATAL;5; 
3598;FUNDACION TENGO HOGAR ;CALLE;MARQUES DE URQUIJO;5;PLANTA 5ª, PUERTA B;28008;MADRID;ARGUELLES;G86939048;06/03/2019;917958204;info@fundaciontengohogar.org;http://fundaciontengohogar.org;OTRAS DE ACCIÓN SOCIAL;COMUNIDAD DE MADRID;37; 
3625;FUNDACION CEPAIM, ACCION INTEGRAL CON MIGRANTES;CALLE;NICOLAS MORALES;11;3º D;28019;MADRID;SAN ISIDRO;G73600553;01/04/2019;647411577;info@cepaim.org;http://www.cepaim.org;OTRAS DE ACCIÓN SOCIAL;ESTATAL;12; 
3640;FUNDACION SECRETARIADO GITANO;CALLE;AHIJONES;S/N;;28018;MADRID;PALOMERAS BAJAS;G83117374;22/04/2019;914220960;fsg@gitanos.org;;OTRAS DE ACCIÓN SOCIAL;ESTATAL;810; 
3645;FUNDACION ALAS MADRID ;CALLE;ENCOMIENDA DE PALACIOS;235;;28030;MADRID;PAVONES;G79466553;14/05/2019;917724300;administracion@alasmadrid.org;www.alasmadrid.org;DE PERSONAS CON DISCAPACIDAD;COMUNIDAD DE MADRID;9; 
3658;FUNDACION BENEFICA SAN MARTIN DE PORRES;CALLE;VIA CARPETANA;47;BAJO;28047;MADRID;SAN ISIDRO;G28763712;14/05/2019;616185767;fundacion@fundacionsmp.org;http://www.fundacionsmp.org;OTRAS DE ACCIÓN SOCIAL;COMUNIDAD DE MADRID;3; 
3660;FUNDACION WORLD VISION INTERNACIONAL;CALLE;JAVIER FERRERO;10;;28002;MADRID;CIUDAD JARDIN;G83006726;29/04/2019;913545020;leticia.delarica@wveu.org;;PARA LA COOPERACIÓN AL DESARROLLO;ESTATAL;8; 
3662;FUNDACION ASISPA;CALLE;MARTINEZ VILLERGAS;6;;28027;MADRID;SAN PASCUAL;G85736668;25/04/2019;911950095;fundacion@fundacionasispa.org;;OTRAS DE ACCIÓN SOCIAL;ESTATAL;5; 
3700;FUNDACION EL BUEN SAMARITANO;CALLE;MATILDE HERNANDEZ;97;APROX. 99;28025;MADRID;VISTA ALEGRE;G82184615;13/08/2019;679073439;luis.sanchez@fundacionbuensamaritano.es;http://fundacionbuensamaritano.es;OTRAS DE ACCIÓN SOCIAL;ESTATAL;6; 
3713;FUNDACION BETESDA;AVENIDA;GRAN VIA DE HORTALEZA;27;;28043;MADRID;PINAR DEL REY;G81111502;19/08/2019;913882501;fundacion@fundacionbetesda.org;http://www.fundacionbetesda.org;DE PERSONAS CON DISCAPACIDAD;COMUNIDAD DE MADRID;10; 
3722;FUNDACION AUCAVI (AUTISMO CALIDAD DE VIDA);CALLE;RICARDO ORTIZ;29;3º;28017;MADRID;VENTAS;G83848713;23/08/2019;636365367;administracion@fundacionaucavi.org;;DE PERSONAS CON DISCAPACIDAD;COMUNIDAD DE MADRID;3;27/08/2020
3730;FUNDACION KIRIRA ;CALLE;BRAVO MURILLO;279;PORTAL 1, 6º IZQ,;28020;MADRID;BERRUGUETE;G13470935;25/10/2019;608817929;kirira@fundacionkirira.es;;PARA LA COOPERACIÓN AL DESARROLLO;ESTATAL;6; 
3741;FUNDACION MARI PAZ JIMENEZ CASADO ;CALLE;ZIGIA;28;;28027;MADRID;QUINTANA;G86630852;27/11/2019;677451146;info@fundacionmaripazjimenez.org;www.fundacionmaripazjimenez.org;OTRAS DE ACCIÓN SOCIAL;ESTATAL;12; 
3751;FUNDACION CARMEN PARDO-VALCARCE;CALLE;MONASTERIO DE LAS HUELGAS;15;;28049;MADRID;MIRASIERRA;G79571014;15/01/2020;616386639;joseluis.castro@alapar.org;;DE PERSONAS CON DISCAPACIDAD;ESTATAL;7; 
3754;FUNDACION NAIF - NUEVA AYUDA PARA LA INFANCIA Y LA FAMILIA;CALLE;GRANADA;41;1º - 101;28007;MADRID;PACIFICO;G85606176;07/01/2020;620579074;a.perez@fundacionnaif.org;http://www.fundacionnaif.org;INFANTILES;COMUNIDAD DE MADRID;138; 
3759;FUNDACION ADSIS;CALLE;LOS PEÑASCALES;14;BAJO IZQUIERDA;28028;MADRID;FUENTE DEL BERRO;G81436099;24/01/2020;606208200;madrid@fundacionadsis.org;http://www.fundacionadsis.org;OTRAS DE ACCIÓN SOCIAL;ESTATAL;538; 
3760;FUNDACION SALUD Y NATURALEZA;CALLE;DOCTOR ESQUERDO;105;;28007;MADRID;ESTRELLA;G84301423;22/01/2020;691059730;mar.garcia@fundaciontn.es;http://www.fundaciontn.es;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;ESTATAL;11; 
3769;FUNDACION AMOVERSE ;CALLE;GERANIOS;30;;28029;MADRID;ALMENARA;G83181925;03/02/2020;917335449;fundacionamoverse@jesuitas.es;;INFANTILES;ESTATAL;9;13/07/2021
