Num_Inscripcion;Razon_Social;Tipo_Via;Calle;Numero;Aproximacion;Cod_Postal;Poblacion;Barrio;CIF;Fecha_Registro;Primer_Tlfn;Email;Internet;Categoria;Ambito;Asoc_Totales;Asoc_Madrid;Socios_totales;Socios_Madrid
975;PLENA INCLUSION MADRID. ORGANIZACION DE ENTIDADES EN FAVOR DE PERSONAS CON DISCAPACIDAD INTELECTUAL DE MADRID;AVENIDA;CIUDAD DE BARCELONA;108;ESC. 2ª BJ. DCHA.;28007;MADRID;PACIFICO;G28729853;03/05/1994;915018335;info@plenamadrid.org;http://plenainclusionmadrid.org/;DE PERSONAS CON DISCAPACIDAD;COMUNIDAD DE MADRID;118;65;23545;15000
856;COORDINADORA INFANTIL Y JUVENIL DE TIEMPO LIBRE DE VALLECAS;CALLE;JAVIER DE MIGUEL;92;2, LOCAL 5;28018;MADRID;PALOMERAS BAJAS;G79896619;30/10/1992;912230414;coordinadora@asociaciones.org;http://www.coordinadora.org.es	 ;INFANTILES;DISTRITO;19;19;996;996
775;FEDERACION CATOLICA  DE ASOCIACIONES DE PADRES DE FAMILIA Y PADRES DE ALUMNOS DE MADRID - FECAPA;CALLE;DON RAMON DE LA CRUZ;90;1º IZDA.;28006;MADRID;GOYA;G28719193;12/11/1991; ;madrid@fecapa.e.telefonica.net;;DE MADRES Y PADRES DEL ALUMNADO;COMUNIDAD DE MADRID;237;192;220000;180000
67;FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM;CALLE;CAMINO DE LOS VINATEROS;53; BIS 1º;28030;MADRID;MEDIA LEGUA;G28749836;07/04/1988;917252909;ADMINISTRACION@AAVVMADRID.ORG;http://www.aavvmadrid.org	 ;VECINALES;COMUNIDAD DE MADRID;289;184;116327;89663
594;FERMAD - PLATAFORMA MADRILEÑA DE ENTIDADES PARA LA ASISTENCIA A LA PERSONA ADICTA Y SU FAMILIA;CALLE;CONDE DE ROMANONES;9;4º DCHA.;28012;MADRID;EMBAJADORES;G78406550;05/10/1990;913694448;fermad@telefonica.net;http://www.fermad.org;DE SALUD Y APOYO MUTUO;COMUNIDAD DE MADRID;22;19;1432;1158
4162;CONFEDERACION ESPAÑOLA DE AULAS DE TERCERA EDAD;AVENIDA;AMERICA;1;; ; ; ;;21/07/2022;696297014;admin@ceate.es;www.ceate.es;DE PERSONAS MAYORES, JUBILADAS Y PENSIONISTAS;ESTATAL;27;9;55761;1511
4159;FEDERACION DE ASOCIACIONES PARA LA DEFENSA DE LA SANIDAD PUBLICA;CALLE;ARROYO DE LA MEDIA LEGUA;29;PUERTA 49; ; ; ;G81042236;18/07/2022;913339087;fadspu@gmail.com;www.fadsp.es;DE SALUD Y APOYO MUTUO;ESTATAL;12;9747;1;2042
4128;FEDERACION DE VECINOS DE MADRID - VEM;CALLE;VICTOR ANDRES BELAUNDE;52;PISO BAJO, PUERTA CENTRO; ; ; ;G67985150;26/05/2022;684183496;vem@vecinosmadrid.es;https://www.vecinosmadrid.es/;VECINALES;COMUNIDAD DE MADRID;12;11;1144;1085
4093;FEDERACION DE ASOCIACIONES DE MUJERES “LIBRES Y COMBATIVAS” DE LA COMUNIDAD DE MADRID;CALLE;HERMANOS DEL MORAL;33;PLANTA BAJA, PUERTA 2; ; ; ;G09837741;15/03/2022;605950727;libresycombativasmadrid@gmail.com;;DE MUJERES;COMUNIDAD DE MADRID;3;3;792;792
407;"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS""";CALLE;PILAR DE ZARAGOZA;22;BAJO-JARDIN;28028;MADRID;GUINDALERA;G28848497;30/06/1989;915539773;info@fapaginerdelosrios.es;http://www.fapaginerdelosrios.org;DE MADRES Y PADRES DEL ALUMNADO;COMUNIDAD DE MADRID;903;379;120097;56852
404;FEDERACION DE ASOCIACIONES CIUDADANAS DE CONSUMIDORES Y USUARIOS MADRID - FACUM;CALLE;CAVA BAJA;30;LOCAL 7;28005;MADRID;PALACIO;G79281424;27/06/1989;913640276;info@cecumadrid.org;;DE PERSONAS CONSUMIDORAS Y USUARIAS;COMUNIDAD DE MADRID;3;3;1030;1030
4027;FEDERACION DE ASOCIACIONES PARA LA PREVENCION DEL MALTRATO INFANTIL;CALLE;DELICIAS;8;ENTREPLANTA; ; ; ;G79986493;25/11/2021;914682662;alejandra.pascual@fapmi.es;www.fapmi.es;OTRAS DE ACCIÓN SOCIAL;ESTATAL;10;1;1941;0
4003;CONFEDERACION ESPAÑOLA DE PERSONAS CON DISCAPACIDAD FISICA Y ORGANICA (COCEMFE);CALLE;EUGENIO SALAZAR;2;; ; ; ;G28681955;28/09/2021;917443600;juridico@cocemfe.es;www.cocemfe.es;DE PERSONAS CON DISCAPACIDAD;ESTATAL;91;30;225340;225340
3957;FEDERACION MADRILEÑA DE ESPELEOLOGIA;AVENIDA;SALAS DE LOS INFANTES;1;PISO 3º, PUERTA 7; ; ; ;G79008926;28/06/2021;629256870;fme@fmespeleologia.org;www.fmespeleologia.org;DEPORTIVAS;COMUNIDAD DE MADRID;35;19;627;326
3952;FEDERACION DE PERITOS, MEDIADORES Y ARBITROS - FEPEME;CALLE;LOPE DE RUEDA;50;BAJO, EXTERIOR; ; ; ;G88616172;29/06/2021;910917266;admin@fepeme.org;www.fepeme.org;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;ESTATAL;10;10;1500;1500
3933;FEDERACION ERASMUS STUDENT NETWORK ESPAÑA;CALLE;EINSTEIN;7;; ; ; ;V83340406;28/05/2021;631482642;secretariado@esn-spain.org;;DE ESTUDIANTES /ALUMNADO;ESTATAL;38;5;28715;5190
3924;FEMADEN – FEDERACION MADRILEÑA DE ENFERMEDADES NEUROLOGICAS;CAMINO;VALDERRIBAS;115;BAJO; ; ; ;G83868778;25/05/2021;647620736;femaden@femaden.org;http://www.femaden.org;DE PERSONAS CON DISCAPACIDAD;COMUNIDAD DE MADRID;4;4;3470;3470
3909;FEDERACION DE ASOCIACIONES REGIONALES DE ESTUDIANTES DE CIENCIAS ECONOMICAS Y EMPRESARIALES - AIESEC EN ESPAÑA;CALLE;LA REGALADA;5;3º-A; ; ; ;G80240096;30/03/2021;640194223;finanzasylegalidad@aiesec.es;;DE ESTUDIANTES /ALUMNADO;ESTATAL;8;1;176;25
3900;FEDERACION MADRILEÑA DE MONTAÑISMO;AVENIDA;SALAS DE LOS INFANTES;1;5º PISO, PUERTA 3; ; ; ;G79488870;11/02/2021;915273801;cfballesteros@fmm.es;http://www.fmm.es;DEPORTIVAS;COMUNIDAD DE MADRID;46;56;18778;13642
