province,province_id,province_uri,health_area,health_area_id,center_id,center,address,phone_number,entity_id,entity,entity_uri,city,city_id,city_uri,latitude,longitude
Valencia Province,valencia,https://www.wikidata.org/wiki/Q54939,H. Arnau-Lliria,h_arnau-lliria,clinica_diaverum_burjassot,CLÍNICA DIAVERUM BURJASSOT,"C/ Sèquia de Montcada, s/n",963160586,diaverum,Diaverum,https://www.wikidata.org/wiki/Q18588976,Burjassot,burjassot,https://www.wikidata.org/wiki/Q55688,39.503047550000076,-0.40671514699994304
Valencia Province,valencia,https://www.wikidata.org/wiki/Q54939,H. Arnau-Lliria,h_arnau-lliria,clinica_diaverum_paterna,CLÍNICA DIAVERUM PATERNA,"C/ Vicente Cardona, 22",960905150,diaverum,Diaverum,https://www.wikidata.org/wiki/Q18588976,Paterna,paterna,https://www.wikidata.org/wiki/Q23042,39.49954001200007,-0.44215997699996
Valencia Province,valencia,https://www.wikidata.org/wiki/Q54939,H. Arnau-Lliria,h_arnau-lliria,clinica_diaverum_lliria,CLÍNICA DIAVERUM LLÍRIA,"C/ Ausias March, 20",960905162,diaverum,Diaverum,https://www.wikidata.org/wiki/Q18588976,Llíria,lliria,https://www.wikidata.org/wiki/Q23067,39.63063000200003,-0.600239988999931
Castellón,castellon,https://www.wikidata.org/wiki/Q54942,H La Plana,h_la_plana,bbraun_vila_real,BBraun VILA-REAL,Avda. Italia,964917120,bbraun,B. Braun,https://www.wikidata.org/wiki/Q644835,Vila-real,vila_real,https://www.wikidata.org/wiki/Q12292,39.93642596500007,-0.10961125599993601
Alicante Province,alicante,https://www.wikidata.org/wiki/Q54936,Alicante,alicante,clinica_vistahermosa_grupo_hla,CLÍNICA VISTAHERMOSA GRUPO HLA,"Avda. Denia, 103",965268000,clinica_vistahermosa_grupo_hla,Clínica Vistahermosa Grupo Hla,https://www.wikidata.org/wiki/Q87761418,Alicante,alicante,https://www.wikidata.org/wiki/Q11959,38.36285998000005,-0.46312998999997
Alicante Province,alicante,https://www.wikidata.org/wiki/Q54936,Alicante,alicante,clinica_diaverum_alicante,CLÍNICA DIAVERUM ALICANTE,"C/ Proción, 3",627427220,diaverum,Diaverum,https://www.wikidata.org/wiki/Q18588976,Alicante,alicante,https://www.wikidata.org/wiki/Q11959,38.34516355000005,-0.507742138999958
Alicante Province,alicante,https://www.wikidata.org/wiki/Q54936,Dpto. Salud Elche,dpto_salud_elche,h_general_elche,H GENERAL ELCHE,"C/ Almazara, 11",966616928,generalitat_valenciana,Generalitat Valenciana,https://www.wikidata.org/wiki/Q2477285,Elche,elche,https://www.wikidata.org/wiki/Q10509,38.25972733100008,-0.6885269479999461
Alicante Province,alicante,https://www.wikidata.org/wiki/Q54936,Dpto. Salud Torrevieja,dpto_salud_torrevieja,h_universitario_torrevieja,H UNIVERSITARIO TORREVIEJA,"Carretera CV 95, s/n",965721349,torrevieja_salud_ute_ley_18_82,TORREVIEJA SALUD UTE LEY 18/82,,Torrevieja,torrevieja,https://www.wikidata.org/wiki/Q221749,37.96197587800003,-0.713539686999979
Valencia Province,valencia,https://www.wikidata.org/wiki/Q54939,H. Dr. Peset,h_dr_peset,clinica_diaverum_alfafar,CLÍNICA DIAVERUM ALFAFAR,"C/ Profesora Ana Rojo, 1",961801811,diaverum,Diaverum,https://www.wikidata.org/wiki/Q18588976,Alfafar,alfafar,https://www.wikidata.org/wiki/Q1648851,39.41751001400007,-0.38313997899996305
Valencia Province,valencia,https://www.wikidata.org/wiki/Q54939,H. La Fe,h_la_fe,clinica_diaverum_gamapal,CLÍNICA DIAVERUM GAMAPAL,"C/. Reina Violante, s/n (Esq. Padre Barranco, 42)",960905123,diaverum,Diaverum,https://www.wikidata.org/wiki/Q18588976,Valencia,valencia,https://www.wikidata.org/wiki/Q8818,39.48764005700008,-0.40356994599994706
Valencia Province,valencia,https://www.wikidata.org/wiki/Q54939,H. Sagunto,h_sagunto,clinica_diaverum_puerto_sagunto,CLÍNICA DIAVERUM PUERTO SAGUNTO,"C/ Urani, 27",961801690,diaverum,Diaverum,https://www.wikidata.org/wiki/Q18588976,Port de Sagunt,puerto_sagunto,https://www.wikidata.org/wiki/Q47497,39.668620014000055,-0.217539975999955
Valencia Province,valencia,https://www.wikidata.org/wiki/Q54939,H. Clínico,h_clinico,bbraun_valnefron,Bbraun VALNEFRON,"C/ Serpis, 8",963613908,bbraun,B. Braun,https://www.wikidata.org/wiki/Q644835,Valencia,valencia,https://www.wikidata.org/wiki/Q8818,39.476070013000026,-0.34932997999993604
